symbol,direction,indicator,htf,entry_time,entry_price,stake,param_a,param_b,atr_mult,min_hold_bars,last_price,bars_held,unrealized_pct,unrealized_pnl,status,entry_phase,current_phase
ETH/USDC,long,jma,12h,2026-02-13T09:00:00+01:00,1957.73,13222.869108001494,30.0,0.0,2.0,0,1964.08,1,0.3243552481700699,42.88906991046175,Gewinn,Flat,Flat
TNSR/USDC,long,jma,12h,2026-02-13T08:00:00+01:00,0.0547,6279.285499203445,30.0,50.0,,0,0.0612,2,11.882998171846433,746.1673810753636,Gewinn,Flat,Flat
TAO/USDC,long,jma,12h,2026-02-13T08:00:00+01:00,154.2,1650.0,20.0,0.0,,0,157.0,2,1.8158236057068815,29.961089494163545,Gewinn,Flat,Flat
SUI/USDC,long,jma,12h,2026-02-12T20:00:00+01:00,0.9121,2331.2647314981423,20.0,0.0,,0,0.9287,14,1.8199758798377312,42.42845580843004,Gewinn,Flat,Flat
XRP/USDC,long,jma,12h,2026-02-12T06:00:00+01:00,1.3796,3246.447614269414,30.0,-50.0,,0,1.368,28,-0.8408234270803011,-27.29689208866676,Verlust,Flat,Flat
ICP/USDC,long,jma,12h,2026-02-12T04:00:00+01:00,2.361,4088.9493616684804,20.0,50.0,,0,2.298,30,-2.6683608640406677,-109.10792451720243,Verlust,Up,Flat
SOL/USDC,long,jma,12h,2026-02-12T01:00:00+01:00,79.94,8351.76828963964,20.0,0.0,,0,79.65,33,-0.3627720790592845,-30.29788346253977,Verlust,Up,Flat
TAO/USDC,long,jma,12h,2026-02-12T01:00:00+01:00,147.7,10130.860493885624,20.0,0.0,,0,157.0,33,6.296547054840902,637.8943980577958,Gewinn,Up,Flat
LUNC/USDT,long,jma,12h,2026-02-12T01:00:00+01:00,3.421e-05,17130.231880203377,20.0,0.0,,0,3.299e-05,33,-3.5662087109032403,-610.8998215097367,Verlust,Up,Flat
BTC/USDC,long,jma,12h,2026-02-13T09:00:00+01:00,66652.28,1650.0,20.0,-50.0,,24,66859.52,1,0.3109270980677709,5.13029711811822,Gewinn,Flat,Flat
