symbol,direction,indicator,htf,param_desc,entry_time,entry_price,exit_time,exit_price,stake,fees,pnl,equity_after,reason,size_units,Zeit,ExitZeit,Entry,ExitPreis
SOL/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-01 01:00:00+01:00,192.2,2025-01-03T01:00:00+01:00,206.95,1650.0,2.569969432882414,124.05594107700313,16624.055941077004,"Time-based exit (4 bars, optimal=4)",8.58480749219563,2025-01-01T01:00:00+01:00,2025-01-03T01:00:00+01:00,192.2,206.95
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2025-01-01 01:00:00+01:00,2.1059,2025-01-03T13:00:00+01:00,2.4026,1662.4055941077004,2.669270485671649,231.54685552779273,16855.602796604795,"Time-based exit (5 bars, optimal=5)",789.4038625327415,2025-01-01T01:00:00+01:00,2025-01-03T13:00:00+01:00,2.1059,2.4026
BNB/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-01 07:00:00+01:00,705.09,2025-01-03T07:00:00+01:00,702.28,1685.5602796604794,2.523302313306566,-9.24077722551075,16846.362019379285,"Time-based exit (4 bars, optimal=4)",2.390560466976527,2025-01-01T07:00:00+01:00,2025-01-03T07:00:00+01:00,705.09,702.28
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2025-01-01 18:00:00+01:00,3336.65,2025-01-04T06:00:00+01:00,3595.45,1684.6362019379285,2.6249531600828484,128.040189741191,16974.402209120475,"Time-based exit (5 bars, optimal=5)",0.5048884965273338,2025-01-01T18:00:00+01:00,2025-01-04T06:00:00+01:00,3336.65,3595.45
BTC/USDC,Long,jma,12h,"ParamA=20.0, ParamB=-50.0, ATR=None",2025-01-01 18:00:00+01:00,93942.68,2025-01-04T06:00:00+01:00,98090.62,1697.4402209120476,2.6023718439888253,72.34631165034968,17046.748520770823,"Time-based exit (5 bars, optimal=5)",0.01806889287075957,2025-01-01T18:00:00+01:00,2025-01-04T06:00:00+01:00,93942.68,98090.62
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-02 00:00:00+01:00,4.2755,2025-01-04T00:00:00+01:00,4.9824,1704.6748520770823,2.768397142973527,279.0780893342314,17325.826610105054,"Time-based exit (4 bars, optimal=4)",398.7077188813197,2025-01-02T00:00:00+01:00,2025-01-04T00:00:00+01:00,4.2755,4.9824
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2025-01-02 01:00:00+01:00,0.4563,2025-01-04T01:00:00+01:00,0.4871,1738.0546940070114,2.6950703457038374,114.62266924538962,17495.169609315504,"Time-based exit (4 bars, optimal=4)",3809.0175191913468,2025-01-02T01:00:00+01:00,2025-01-04T01:00:00+01:00,0.4563,0.4871
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2025-01-02 01:00:00+01:00,10.626,2025-01-04T01:00:00+01:00,12.521,1749.5169609315503,2.8582770394327075,309.1438536744098,17804.313462989914,"Time-based exit (4 bars, optimal=4)",164.6449238595474,2025-01-02T01:00:00+01:00,2025-01-04T01:00:00+01:00,10.626,12.521
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2025-01-02 01:00:00+01:00,0.00011387,2025-01-04T01:00:00+01:00,0.00011764,1732.5826610105055,2.6418956607351065,54.72032996506277,17380.546940070115,"Time-based exit (4 bars, optimal=4)",15215444.463076362,2025-01-02T01:00:00+01:00,2025-01-04T01:00:00+01:00,0.00011387,0.00011764
ADA/USDC,Long,jma,12h,"ParamA=20.0, ParamB=-50.0, ATR=None",2025-01-02 09:00:00+01:00,0.9348,2025-01-04T09:00:00+01:00,1.0624,1780.4313462989915,2.8529183928340385,240.17557945456798,18044.489042444482,"Time-based exit (4 bars, optimal=4)",1904.6120520956263,2025-01-02T09:00:00+01:00,2025-01-04T09:00:00+01:00,0.9348,1.0624
