symbol,direction,indicator,htf,param_desc,entry_time,entry_price,exit_time,exit_price,stake,fees,pnl,equity_after,reason,size_units,Zeit,ExitZeit,Entry,ExitPreis
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2026-02-12T05:00:00+01:00,0.055,2026-02-13T08:00:00+01:00,0.0547,57341.23258198861,12.567939826277389,-312.7703595381214,62792.85499203445,"Time-based exit (2 bars, optimal=2)",114253.99842070353,2026-02-12T05:00:00+01:00,2026-02-13T08:00:00+01:00,0.055,0.0547
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2026-02-12T01:00:00+01:00,1957.51,2026-02-12T17:00:00+01:00,1901.552090745019,57546.86385497735,26.526874028953696,-1645.0501839099486,132228.69108001495,ATR stop x2.00,6.7756675646494005,2026-02-12T01:00:00+01:00,2026-02-12T17:00:00+01:00,1957.51,1901.552090745019
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2026-02-09T15:00:00+01:00,2042.66,2026-02-10T15:00:00+01:00,1987.4521346037598,57741.940942161,26.604098910677074,-1560.6166974692228,132634.37014476847,ATR stop x2.00,6.512121182839305,2026-02-09T15:00:00+01:00,2026-02-10T15:00:00+01:00,2042.66,1987.4521346037598
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-02-09T15:00:00+01:00,0.9476,2026-02-12T10:00:00+01:00,0.9404,57796.83451652241,4.667008924749386,-439.1485948912626,23312.647314981423,"Time-based exit (5 bars, optimal=5)",2462.5416445490637,2026-02-09T15:00:00+01:00,2026-02-12T10:00:00+01:00,0.9476,0.9404
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2026-02-09T15:00:00+01:00,2.396,2026-02-12T03:00:00+01:00,2.347,57944.96176644707,8.19630003265903,-1185.0179993972883,40889.493616684806,Trend flip,1710.4131954630698,2026-02-09T15:00:00+01:00,2026-02-12T03:00:00+01:00,2.396,2.347
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2026-02-09T15:00:00+01:00,1.4301,2026-02-12T04:00:00+01:00,1.3745,58227.93789986717,6.5195460898999045,-2263.809067360749,32464.476142694137,Trend flip,2279.402171141845,2026-02-09T15:00:00+01:00,2026-02-12T04:00:00+01:00,1.4301,1.3745
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2026-02-08T12:00:00+01:00,0.0452,2026-02-09T19:00:00+01:00,0.0448,58292.42066609072,12.581590295039973,-515.8621297884105,62839.699131386944,"Time-based exit (2 bars, optimal=2)",139176.88379468996,2026-02-08T12:00:00+01:00,2026-02-09T19:00:00+01:00,0.0452,0.0448
SOL/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-02-07T13:00:00+01:00,86.17,2026-02-10T01:00:00+01:00,86.37,58275.513530912904,16.703000424014423,135.2570814225687,83517.6828963964,"Time-based exit (5 bars, optimal=5)",96.91888374152502,2026-02-07T13:00:00+01:00,2026-02-10T01:00:00+01:00,86.17,86.37
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2026-02-07T02:00:00+01:00,2061.0,2026-02-09T15:00:00+01:00,2042.66,58340.406972438526,26.633125269716782,-519.1475322050062,133020.49455338536,"Time-based exit (5 bars, optimal=5)",6.46121428183328,2026-02-07T02:00:00+01:00,2026-02-09T15:00:00+01:00,2061.0,2042.66
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2026-02-06T23:00:00+01:00,0.0468,2026-02-08T10:00:00+01:00,0.0446,59993.88919767307,12.643554518638153,-2820.225560574376,62907.95147519986,Trend flip,135080.71066921102,2026-02-06T23:00:00+01:00,2026-02-08T10:00:00+01:00,0.0468,0.0446
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2026-02-06T23:00:00+01:00,2.529,2026-02-09T14:00:00+01:00,2.354,60839.08906485604,8.255073939475722,-4209.901378548752,40981.50016329515,Trend flip,1632.082629394172,2026-02-06T23:00:00+01:00,2026-02-09T14:00:00+01:00,2.529,2.354
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-02-06T23:00:00+01:00,3.64e-05,2026-02-09T00:00:00+01:00,3.486e-05,60312.85139253744,34.41293955412348,-2551.6975589150384,171302.31880203378,Trend flip,472705213.65554243,2026-02-06T23:00:00+01:00,2026-02-09T00:00:00+01:00,3.64e-05,3.486e-05
TAO/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-02-06T23:00:00+01:00,176.2,2026-02-09T14:00:00+01:00,156.4,59641.36100260127,20.49614006440801,-6702.037161472782,101308.60493885624,Trend flip,58.16157793532353,2026-02-06T23:00:00+01:00,2026-02-09T14:00:00+01:00,176.2,156.4
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2026-02-06T23:00:00+01:00,1.4885,2026-02-09T14:00:00+01:00,1.3947,58803.60635741717,6.5622112642039605,-3705.595079829173,32597.730449499522,Trend flip,2204.3034142438564,2026-02-06T23:00:00+01:00,2026-02-09T14:00:00+01:00,1.4885,1.3947
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-02-06T20:00:00+01:00,1.0078,2026-02-09T14:00:00+01:00,0.9281,61446.512041852424,4.705159843553901,-4859.383815971064,23335.044623746926,Trend flip,2334.3718215687145,2026-02-06T20:00:00+01:00,2026-02-09T14:00:00+01:00,1.0078,0.9281
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2026-02-04T02:00:00+01:00,0.0493,2026-02-05T02:00:00+01:00,0.049,61493.28685436842,12.653785347927572,-374.198500127996,63217.77259319076,"Time-based exit (2 bars, optimal=2)",128334.53699723705,2026-02-04T02:00:00+01:00,2026-02-05T02:00:00+01:00,0.0493,0.049
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2026-02-04T01:00:00+01:00,2.659,2026-02-06T19:00:00+01:00,2.491,61982.80884979744,8.309234901289248,-3916.1759634320993,41275.369697378606,Trend flip,1562.4736557520212,2026-02-04T01:00:00+01:00,2026-02-06T19:00:00+01:00,2.659,2.491
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-02-03T20:00:00+01:00,3.689e-05,2026-02-06T00:00:00+01:00,3.263e-05,62890.62280049584,34.82202328431898,-7262.511605587218,172064.69777061744,Trend flip,471971039.3645836,2026-02-03T20:00:00+01:00,2026-02-06T00:00:00+01:00,3.689e-05,3.263e-05
TAO/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-02-02T23:00:00+01:00,199.2,2026-02-05T11:00:00+01:00,179.4,63681.850613083094,20.706094877040748,-6329.822500698013,102480.70032204005,Trend flip,51.97312971144766,2026-02-02T23:00:00+01:00,2026-02-05T11:00:00+01:00,199.2,179.4
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-02-02T19:00:00+01:00,1.1506,2026-02-06T09:00:00+01:00,0.9121,65375.76241295822,4.805735799347916,-13551.294399000988,23525.799217769505,Trend flip,2088.360768011436,2026-02-02T19:00:00+01:00,2026-02-06T09:00:00+01:00,1.1506,0.9121
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-02-01T17:00:00+01:00,3.803e-05,2026-02-03T17:00:00+01:00,3.676e-05,65649.80676805759,34.94571254497713,-2192.3548407949806,174110.1164215949,Trend flip,459449284.0517634,2026-02-01T17:00:00+01:00,2026-02-03T17:00:00+01:00,3.803e-05,3.676e-05
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-30T15:00:00+01:00,3.673e-05,2026-02-01T15:00:00+01:00,3.817e-05,65329.65057141033,34.816178918135876,2561.249573178079,174728.56272488562,"Time-based exit (4 bars, optimal=4)",473947439.6696961,2026-01-30T15:00:00+01:00,2026-02-01T15:00:00+01:00,3.673e-05,3.817e-05
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2026-01-28T18:00:00+01:00,0.0587,2026-01-29T19:00:00+01:00,0.0542,65961.73706371596,12.754110440857069,-5056.691938445009,63268.926739637864,Trend flip,108638.0787125815,2026-01-28T18:00:00+01:00,2026-01-29T19:00:00+01:00,0.0587,0.0542
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-28T12:00:00+01:00,3.786e-05,2026-01-30T13:00:00+01:00,3.656e-05,66246.07375110514,34.94315195831574,-2274.693499113485,174080.89459067938,Trend flip,461478499.18536365,2026-01-28T12:00:00+01:00,2026-01-30T13:00:00+01:00,3.786e-05,3.656e-05
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2026-01-27T16:00:00+01:00,0.0586,2026-01-28T16:00:00+01:00,0.0583,66288.49386236518,12.763197140254533,-339.3608900803697,63770.55220428534,"Time-based exit (2 bars, optimal=2)",108900.9994902264,2026-01-27T16:00:00+01:00,2026-01-28T16:00:00+01:00,0.0586,0.0583
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2026-01-27T13:00:00+01:00,3.257,2026-01-30T02:00:00+01:00,3.046,66829.67676834154,8.365100002979394,-4329.463247810895,41546.17450644624,Trend flip,1284.1725518850774,2026-01-27T13:00:00+01:00,2026-01-30T02:00:00+01:00,3.257,3.046
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-27T09:00:00+01:00,1.4387,2026-01-30T02:00:00+01:00,1.2988,67651.99149783229,4.853906238815622,-6578.517835926007,24028.67899673958,Trend flip,1686.90701286426,2026-01-27T09:00:00+01:00,2026-01-30T02:00:00+01:00,1.4387,1.2988
TAO/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-27T09:00:00+01:00,232.1,2026-01-30T02:00:00+01:00,217.8,68177.05173035277,20.838652409095193,-4200.48186016391,103530.47438520375,Trend flip,44.89153901140714,2026-01-27T09:00:00+01:00,2026-01-30T02:00:00+01:00,232.1,217.8
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2026-01-27T02:00:00+01:00,1.9048,2026-01-29T15:00:00+01:00,1.8242,68539.57599967065,6.591420586713212,-2900.1941545429727,32811.0563210198,Trend flip,1730.2132997462231,2026-01-27T02:00:00+01:00,2026-01-29T15:00:00+01:00,1.9048,1.8242
SOL/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-26T22:00:00+01:00,124.44,2026-01-29T12:00:00+01:00,122.61,68665.79989653929,16.730950953843195,-1009.7911749491062,83515.00212007211,Trend flip,67.22497168853744,2026-01-26T22:00:00+01:00,2026-01-29T12:00:00+01:00,124.44,122.61
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2026-01-26T18:00:00+01:00,2907.47,2026-01-29T06:00:00+01:00,2947.71,68547.21140779094,26.60162837884467,948.7079099868695,133165.6263485839,"Time-based exit (5 bars, optimal=5)",4.5747038454127935,2026-01-26T18:00:00+01:00,2026-01-29T06:00:00+01:00,2907.47,2947.71
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-26T11:00:00+01:00,3.789e-05,2026-01-28T11:00:00+01:00,3.774e-05,68581.14903102482,34.96398639708251,-271.5009858710348,174715.75979157866,"Time-based exit (4 bars, optimal=4)",461388049.57881385,2026-01-26T11:00:00+01:00,2026-01-28T11:00:00+01:00,3.789e-05,3.774e-05
TAO/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-24T15:00:00+01:00,237.7,2026-01-27T04:00:00+01:00,234.2,68707.60918676402,20.87356227846069,-1011.6812459136479,104193.26204547596,Trend flip,43.90736701401071,2026-01-24T15:00:00+01:00,2026-01-27T04:00:00+01:00,237.7,234.2
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-24T15:00:00+01:00,1.4896,2026-01-27T04:00:00+01:00,1.446,68959.91284210066,4.8691318205082785,-2018.4292426930683,24269.531194078107,Trend flip,1634.3756110728646,2026-01-24T15:00:00+01:00,2026-01-27T04:00:00+01:00,1.4896,1.446
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2026-01-24T13:00:00+01:00,1.9174,2026-01-27T01:00:00+01:00,1.9024,69027.41383351499,6.597901767489801,-540.0079313146543,32957.10293356606,"Time-based exit (5 bars, optimal=5)",1720.5334743636697,2026-01-24T13:00:00+01:00,2026-01-27T01:00:00+01:00,1.9174,1.9024
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-24T04:00:00+01:00,3.803e-05,2026-01-26T09:00:00+01:00,3.738e-05,69175.20466651932,35.03086652052688,-1182.3266640346494,174819.93198541255,Trend flip,460568847.23280144,2026-01-24T04:00:00+01:00,2026-01-26T09:00:00+01:00,3.803e-05,3.738e-05
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2026-01-24T03:00:00+01:00,0.0612,2026-01-25T03:00:00+01:00,0.0628,68949.87826695411,12.732456164390966,1802.611196521673,63815.985701272664,"Time-based exit (2 bars, optimal=2)",104023.33467639679,2026-01-24T03:00:00+01:00,2026-01-25T03:00:00+01:00,0.0612,0.0628
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2026-01-24T02:00:00+01:00,2952.86,2026-01-25T17:00:00+01:00,2901.14050356168,69101.1670837653,26.65364310194768,-1210.3105344894675,133008.14189422334,ATR stop x2.00,4.513191126898613,2026-01-24T02:00:00+01:00,2026-01-25T17:00:00+01:00,2952.86,2901.14050356168
SOL/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-22T05:00:00+01:00,130.25,2026-01-24T22:00:00+01:00,126.99,69318.03540951868,16.776295251295927,-1734.9466060271113,83654.75476921597,Trend flip,64.40036564796901,2026-01-22T05:00:00+01:00,2026-01-24T22:00:00+01:00,130.25,126.99
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-22T01:00:00+01:00,3.874e-05,2026-01-24T03:00:00+01:00,3.783e-05,69522.16929587402,35.12038815422469,-1633.0710908426718,175154.3326026344,Trend flip,453283275.09324586,2026-01-22T01:00:00+01:00,2026-01-24T03:00:00+01:00,3.874e-05,3.783e-05
TAO/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-22T01:00:00+01:00,247.0,2026-01-24T14:00:00+01:00,236.8,69882.90086918662,20.964328484457774,-2885.8525865008205,104367.81139230345,Trend flip,42.43791191185784,2026-01-22T01:00:00+01:00,2026-01-24T14:00:00+01:00,247.0,236.8
SUI/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-22T01:00:00+01:00,1.5277,2026-01-24T14:00:00+01:00,1.4837,70135.40116795192,4.8841757981118965,-2020.0023901223324,24345.65910254139,Trend flip,1598.5389140904288,2026-01-22T01:00:00+01:00,2026-01-24T14:00:00+01:00,1.5277,1.4837
XRP/USDC,Long,jma,12h,"ParamA=30.0, ParamB=-50.0, ATR=None",2026-01-21T15:00:00+01:00,1.9411,2026-01-24T05:00:00+01:00,1.9233,70215.88663895891,6.605279903594366,-643.8837680559843,32989.508837449,"Time-based exit (5 bars, optimal=5)",1701.4270010804094,2026-01-21T15:00:00+01:00,2026-01-24T05:00:00+01:00,1.9411,1.9233
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2026-01-19T04:00:00+01:00,3.873,2026-01-21T17:00:00+01:00,3.544,70969.46767644766,8.438470026932126,-6028.648299909964,41825.50001489697,Trend flip,1089.397111661777,2026-01-19T04:00:00+01:00,2026-01-21T17:00:00+01:00,3.873,3.544
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2026-01-18T01:00:00+01:00,0.0723,2026-01-19T22:00:00+01:00,0.0661,71738.44827692647,12.845177482587403,-6151.844803830483,63662.280821954824,Trend flip,88832.48604832227,2026-01-18T01:00:00+01:00,2026-01-19T22:00:00+01:00,0.0723,0.0661
TNSR/USDC,Long,jma,12h,"ParamA=30.0, ParamB=50.0, ATR=None",2026-01-16T18:00:00+01:00,0.0717,2026-01-17T21:00:00+01:00,0.0715,71721.77170299453,12.851332500133491,-200.06072999441167,64225.88741293701,"Time-based exit (2 bars, optimal=2)",89618.77615155852,2026-01-16T18:00:00+01:00,2026-01-17T21:00:00+01:00,0.0717,0.0715
LUNC/USDT,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-16T18:00:00+01:00,4.085e-05,2026-01-18T18:00:00+01:00,4.104e-05,71696.76411174523,35.11107963543762,333.4733214499836,175601.94077112345,"Time-based exit (4 bars, optimal=4)",429756176.688343,2026-01-16T18:00:00+01:00,2026-01-18T18:00:00+01:00,4.085e-05,4.104e-05
ICP/USDC,Long,jma,12h,"ParamA=20.0, ParamB=50.0, ATR=None",2026-01-16T09:00:00+01:00,4.367,2026-01-19T00:00:00+01:00,3.894,72706.14329036407,8.532595082102299,-7874.972698956307,42192.35013466063,Trend flip,976.9401284751887,2026-01-16T09:00:00+01:00,2026-01-19T00:00:00+01:00,4.367,3.894
ETH/USDC,Long,jma,12h,"ParamA=30.0, ParamB=0.0, ATR=2.0",2026-01-15T23:00:00+01:00,3309.06,2026-01-18T11:00:00+01:00,3325.02,72662.33587675594,26.6461205770948,350.4593088650636,133268.2155097384,"Time-based exit (5 bars, optimal=5)",4.026237145457441,2026-01-15T23:00:00+01:00,2026-01-18T11:00:00+01:00,3309.06,3325.02
SOL/USDC,Long,jma,12h,"ParamA=20.0, ParamB=0.0, ATR=None",2026-01-14T13:00:00+01:00,144.54,2026-01-17T01:00:00+01:00,144.29,72678.04909824702,16.782554514813185,-125.70577192861323,83881.47625647964,"Time-based exit (5 bars, optimal=5)",58.05505228591804,2026-01-14T13:00:00+01:00,2026-01-17T01:00:00+01:00,144.54,144.29
