Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown;Phase;SlowLength;PhaseClassifier;PhaseClassifierDisplay;MaxHoldBars
BTC/USDC;Long;supertrend;Supertrend;7;2,0;7,0;2,0;;;24;2h;14218,64746215107;58;0,7068965517241379;162,14135948254443;;;supertrend;Supertrend-Phasen;5
BTC/USDC;Long;supertrend;Supertrend;7;2,0;7,0;2,0;;;24;2h;14218,64746215107;58;0,7068965517241379;162,14135948254443;;;htf_crossover;HTF-Crossover-Phasen;5
BTC/USDC;Long;supertrend;Supertrend;7;2,0;7,0;2,0;;;24;2h;14218,64746215107;58;0,7068965517241379;162,14135948254443;;;jma;JMA-Phasen;5
BTC/USDC;Long;supertrend;Supertrend;7;2,0;7,0;2,0;;;24;2h;14218,64746215107;58;0,7068965517241379;162,14135948254443;;;kama;KAMA-Phasen;5
ETH/USDC;Long;supertrend;Supertrend;14;3,0;14,0;3,0;;;12;5h;14712,80318789058;57;0,7192982456140351;165,44798081237604;;;supertrend;Supertrend-Phasen;5
ETH/USDC;Long;supertrend;Supertrend;14;3,0;14,0;3,0;;;12;5h;14712,80318789058;57;0,7192982456140351;165,44798081237604;;;htf_crossover;HTF-Crossover-Phasen;5
ETH/USDC;Long;supertrend;Supertrend;14;3,0;14,0;3,0;;;12;5h;14712,80318789058;57;0,7192982456140351;165,44798081237604;;;jma;JMA-Phasen;5
ETH/USDC;Long;supertrend;Supertrend;14;3,0;14,0;3,0;;;12;5h;14712,80318789058;57;0,7192982456140351;165,44798081237604;;;kama;KAMA-Phasen;5
SOL/USDC;Long;supertrend;Supertrend;14;4,0;14,0;4,0;;;24;4h;14832,35695339096;43;0,8372093023255814;248,5644434396745;;;supertrend;Supertrend-Phasen;4
SOL/USDC;Long;supertrend;Supertrend;14;4,0;14,0;4,0;;;24;4h;14832,35695339096;43;0,8372093023255814;248,5644434396745;;;htf_crossover;HTF-Crossover-Phasen;4
SOL/USDC;Long;supertrend;Supertrend;14;4,0;14,0;4,0;;;24;4h;14832,35695339096;43;0,8372093023255814;248,5644434396745;;;jma;JMA-Phasen;4
SOL/USDC;Long;supertrend;Supertrend;14;4,0;14,0;4,0;;;24;4h;14832,35695339096;43;0,8372093023255814;248,5644434396745;;;kama;KAMA-Phasen;4
XRP/USDC;Long;supertrend;Supertrend;14;3,0;14,0;3,0;;;24;4h;15321,436179694603;55;0,8363636363636363;132,26797576943864;;;supertrend;Supertrend-Phasen;5
XRP/USDC;Long;supertrend;Supertrend;14;3,0;14,0;3,0;;;24;4h;15321,436179694603;55;0,8363636363636363;132,26797576943864;;;htf_crossover;HTF-Crossover-Phasen;5
XRP/USDC;Long;supertrend;Supertrend;14;3,0;14,0;3,0;;;24;4h;15321,436179694603;55;0,8363636363636363;132,26797576943864;;;jma;JMA-Phasen;5
XRP/USDC;Long;supertrend;Supertrend;14;3,0;14,0;3,0;;;24;4h;15321,436179694603;55;0,8363636363636363;132,26797576943864;;;kama;KAMA-Phasen;5
LINK/USDC;Long;supertrend;Supertrend;7;4,0;7,0;4,0;;;24;15h;14783,903980852509;47;0,8297872340425532;318,1792739025841;;;supertrend;Supertrend-Phasen;4
LINK/USDC;Long;supertrend;Supertrend;7;4,0;7,0;4,0;;;24;15h;14783,903980852509;47;0,8297872340425532;318,1792739025841;;;htf_crossover;HTF-Crossover-Phasen;4
LINK/USDC;Long;supertrend;Supertrend;7;4,0;7,0;4,0;;;24;15h;14783,903980852509;47;0,8297872340425532;318,1792739025841;;;jma;JMA-Phasen;4
LINK/USDC;Long;supertrend;Supertrend;7;4,0;7,0;4,0;;;24;15h;14783,903980852509;47;0,8297872340425532;318,1792739025841;;;kama;KAMA-Phasen;4
SUI/USDC;Long;supertrend;Supertrend;14;4,0;14,0;4,0;;;24;2h;15004,52749120779;68;0,8529411764705882;246,45173871557017;;;supertrend;Supertrend-Phasen;4
SUI/USDC;Long;supertrend;Supertrend;14;4,0;14,0;4,0;;;24;2h;15004,52749120779;68;0,8529411764705882;246,45173871557017;;;htf_crossover;HTF-Crossover-Phasen;4
SUI/USDC;Long;supertrend;Supertrend;14;4,0;14,0;4,0;;;24;2h;15004,52749120779;68;0,8529411764705882;246,45173871557017;;;jma;JMA-Phasen;4
SUI/USDC;Long;supertrend;Supertrend;14;4,0;14,0;4,0;;;24;2h;15004,52749120779;68;0,8529411764705882;246,45173871557017;;;kama;KAMA-Phasen;4
ZEC/USDC;Long;supertrend;Supertrend;7;3,0;7,0;3,0;;;24;1h;14555,788498472924;17;0,9411764705882352;65,80557392222545;;;supertrend;Supertrend-Phasen;4
ZEC/USDC;Long;supertrend;Supertrend;7;3,0;7,0;3,0;;;24;1h;14555,788498472924;17;0,9411764705882352;65,80557392222545;;;htf_crossover;HTF-Crossover-Phasen;4
ZEC/USDC;Long;supertrend;Supertrend;7;3,0;7,0;3,0;;;24;1h;14555,788498472924;17;0,9411764705882352;65,80557392222545;;;jma;JMA-Phasen;4
ZEC/USDC;Long;supertrend;Supertrend;7;3,0;7,0;3,0;;;24;1h;14555,788498472924;17;0,9411764705882352;65,80557392222545;;;kama;KAMA-Phasen;4
TNSR/USDC;Long;supertrend;Supertrend;10;2,0;10,0;2,0;1.0;1,0;24;4h;14666,282381978655;88;0,5454545454545454;194,86282427714104;;;supertrend;Supertrend-Phasen;4
TNSR/USDC;Long;supertrend;Supertrend;10;2,0;10,0;2,0;1.0;1,0;24;4h;14666,282381978655;88;0,5454545454545454;194,86282427714104;;;htf_crossover;HTF-Crossover-Phasen;4
TNSR/USDC;Long;supertrend;Supertrend;10;2,0;10,0;2,0;1.0;1,0;24;4h;14666,282381978655;88;0,5454545454545454;194,86282427714104;;;jma;JMA-Phasen;4
TNSR/USDC;Long;supertrend;Supertrend;10;2,0;10,0;2,0;1.0;1,0;24;4h;14666,282381978655;88;0,5454545454545454;194,86282427714104;;;kama;KAMA-Phasen;4
ADA/USDC;Long;supertrend;Supertrend;7;4,0;7,0;4,0;;;24;1h;15042,685456995248;84;0,75;420,811848848125;;;supertrend;Supertrend-Phasen;4
ADA/USDC;Long;supertrend;Supertrend;7;4,0;7,0;4,0;;;24;1h;15042,685456995248;84;0,75;420,811848848125;;;htf_crossover;HTF-Crossover-Phasen;4
ADA/USDC;Long;supertrend;Supertrend;7;4,0;7,0;4,0;;;24;1h;15042,685456995248;84;0,75;420,811848848125;;;jma;JMA-Phasen;4
