Symbol,Direction,Indicator,IndicatorDisplay,ParamA,ParamB,Length,Factor,ATRStopMult,ATRStopMultValue,MinHoldBars,HTF,FinalEquity,Trades,WinRate,MaxDrawdown,Phase,SlowLength
BTC/EUR,Long,supertrend,Supertrend,7,4.0,7.0,4.0,2.0,2.0,12,21h,14068.16916146831,2,1.0,0.0,,
BTC/EUR,Short,supertrend,Supertrend,14,3.0,14.0,3.0,None,,24,18h,14231.963282443232,21,0.6666666666666666,57.18633399573446,,
ETH/EUR,Long,supertrend,Supertrend,7,2.0,7.0,2.0,None,,12,1h,14143.78941131834,5,1.0,0.0,,
ETH/EUR,Short,supertrend,Supertrend,10,3.0,10.0,3.0,None,,24,9h,14317.068185380254,16,0.75,34.262409065409884,,
XRP/EUR,Long,supertrend,Supertrend,7,3.0,7.0,3.0,None,,24,18h,14215.011380587142,9,0.7777777777777778,9.699126164516201,,
XRP/EUR,Short,supertrend,Supertrend,7,2.0,7.0,2.0,1.5,1.5,0,4h,14358.381552908917,24,0.6666666666666666,24.017656923377217,,
LINK/EUR,Long,supertrend,Supertrend,7,4.0,7.0,4.0,None,,24,3h,14093.016297220314,4,1.0,0.0,,
LINK/EUR,Short,supertrend,Supertrend,7,3.0,7.0,3.0,None,,24,12h,14341.07610328926,23,0.6521739130434783,56.563448994947976,,
LUNC/USDT,Long,supertrend,Supertrend,14,2.0,14.0,2.0,2.0,2.0,24,4h,14211.54071239856,11,0.7272727272727273,54.68084931012527,,
LUNC/USDT,Short,supertrend,Supertrend,7,4.0,7.0,4.0,None,,24,4h,14433.884857386738,13,0.9230769230769231,90.40946679169429,,
SOL/EUR,Long,supertrend,Supertrend,14,4.0,14.0,4.0,1.0,1.0,0,4h,14103.874031703997,6,0.6666666666666666,16.72792314772596,,
SOL/EUR,Short,supertrend,Supertrend,7,2.0,7.0,2.0,None,,24,12h,14400.864503915538,27,0.7407407407407407,124.33486228421316,,
SUI/EUR,Long,supertrend,Supertrend,14,4.0,14.0,4.0,1.5,1.5,0,4h,14267.358828516933,8,0.75,15.308950514752723,,
SUI/EUR,Short,supertrend,Supertrend,7,3.0,7.0,3.0,None,,24,21h,14522.607476061952,29,0.6896551724137931,124.75926257662832,,
TNSR/USDC,Long,supertrend,Supertrend,14,2.0,14.0,2.0,1.5,1.5,24,23h,14430.605021473228,2,1.0,0.0,,
TNSR/USDC,Short,supertrend,Supertrend,10,4.0,10.0,4.0,None,,24,8h,14739.583040138674,23,0.8695652173913043,29.17380925204816,,
ZEC/USDC,Long,supertrend,Supertrend,14,3.0,14.0,3.0,None,,24,15h,14436.794480311573,10,1.0,0.0,,
ZEC/USDC,Short,supertrend,Supertrend,10,2.0,10.0,2.0,None,,24,16h,14394.701556425965,12,0.8333333333333334,71.57998675896488,,
BTC/EUR,Long,htf_crossover,HTF Crossover,7,4.0,,,2.0,2.0,12,21h,14068.16916146831,2,1.0,0.0,,
BTC/EUR,Short,htf_crossover,HTF Crossover,14,3.0,,,2.0,2.0,24,15h,14220.31854863981,24,0.5833333333333334,52.649815915430736,,
ETH/EUR,Long,htf_crossover,HTF Crossover,7,2.0,,,None,,12,1h,14147.741548351689,5,1.0,0.0,,
ETH/EUR,Short,htf_crossover,HTF Crossover,10,3.0,,,None,,24,9h,14317.068185380254,16,0.75,34.262409065409884,,
XRP/EUR,Long,htf_crossover,HTF Crossover,7,3.0,,,None,,24,18h,14215.011380587142,9,0.7777777777777778,9.699126164516201,,
XRP/EUR,Short,htf_crossover,HTF Crossover,7,2.0,,,1.5,1.5,0,4h,14358.381552908917,24,0.6666666666666666,24.017656923377217,,
LINK/EUR,Long,htf_crossover,HTF Crossover,7,4.0,,,None,,24,3h,14093.016297220314,4,1.0,0.0,,
LINK/EUR,Short,htf_crossover,HTF Crossover,7,3.0,,,None,,24,6h,14342.740993940299,21,0.7142857142857143,56.47999498115314,,
LUNC/USDT,Long,htf_crossover,HTF Crossover,14,2.0,,,2.0,2.0,24,4h,14211.54071239856,11,0.7272727272727273,54.68084931012527,,
LUNC/USDT,Short,htf_crossover,HTF Crossover,7,4.0,,,None,,24,4h,14433.884857386738,13,0.9230769230769231,90.40946679169429,,
SOL/EUR,Long,htf_crossover,HTF Crossover,14,4.0,,,1.0,1.0,0,4h,14103.874031703997,6,0.6666666666666666,16.72792314772596,,
SOL/EUR,Short,htf_crossover,HTF Crossover,7,2.0,,,None,,24,12h,14391.135012525103,27,0.7407407407407407,124.33486228421316,,
SUI/EUR,Long,htf_crossover,HTF Crossover,14,4.0,,,1.5,1.5,0,4h,14267.358828516933,8,0.75,15.308950514752723,,
SUI/EUR,Short,htf_crossover,HTF Crossover,10,3.0,,,None,,24,19h,14512.768753908904,30,0.7,102.95352752283361,,
TNSR/USDC,Long,htf_crossover,HTF Crossover,14,2.0,,,1.5,1.5,24,23h,14430.605021473228,2,1.0,0.0,,
TNSR/USDC,Short,htf_crossover,HTF Crossover,10,4.0,,,None,,24,8h,14723.422996742493,23,0.8695652173913043,29.17380925204816,,
ZEC/USDC,Long,htf_crossover,HTF Crossover,7,3.0,,,None,,24,21h,14441.477786780708,11,0.9090909090909091,2.983711454684453,,
ZEC/USDC,Short,htf_crossover,HTF Crossover,10,2.0,,,None,,24,16h,14366.992710023935,12,0.75,75.87282596921068,,
BTC/EUR,Long,jma,Jurik Moving Average,20,50.0,,,None,,24,8h,14131.460071091544,36,0.5833333333333334,73.49047635814895,50.0,
BTC/EUR,Short,jma,Jurik Moving Average,50,0.0,,,1.0,1.0,24,8h,14181.453336778795,29,0.4827586206896552,35.689079808142196,0.0,
ETH/EUR,Long,jma,Jurik Moving Average,20,-50.0,,,2.0,2.0,24,12h,14285.297269144578,42,0.5714285714285714,96.59041420967515,-50.0,
ETH/EUR,Short,jma,Jurik Moving Average,50,0.0,,,None,,24,12h,14485.547268100483,31,0.8064516129032258,38.971728377271575,0.0,
XRP/EUR,Long,jma,Jurik Moving Average,30,-50.0,,,None,,12,12h,14239.449018069128,32,0.71875,53.31111632001557,-50.0,
XRP/EUR,Short,jma,Jurik Moving Average,30,-50.0,,,None,,24,4h,14670.015395181577,42,0.7380952380952381,57.45438743360319,-50.0,
LINK/EUR,Long,jma,Jurik Moving Average,30,50.0,,,1.0,1.0,12,1h,14217.870069687368,16,0.5,45.95213073985178,50.0,
LINK/EUR,Short,jma,Jurik Moving Average,20,50.0,,,None,,24,8h,14510.071411262255,52,0.7307692307692307,193.3188490470784,50.0,
