Symbol;Direction;Indicator;Phase;ParamA;ParamB;ATRStopMult;MinHoldBars;HTF;Trades;PnL;WinRate
ADA/USDC;long;HTF Crossover;Up;14,0;4,0;2.0;24;4h;52;370065665776,73;84,62
ADA/USDC;long;Jurik Moving Average;Up;20,0;-50,0;None;12;12h;489;758121305637,95;64,83
ADA/USDC;long;Kaufman AMA;Up;10,0;50,0;None;0;12h;5;3181736,05;100,0
ADA/USDC;long;Supertrend;Up;7,0;4,0;None;24;1h;53;301084681863,11;69,81
ADA/USDC;short;HTF Crossover;Down;7,0;2,0;None;12;2h;50;222180942167,46;90,0
ADA/USDC;short;Jurik Moving Average;Down;30,0;0,0;None;24;8h;435;987126176210,82;72,64
ADA/USDC;short;Kaufman AMA;Down;20,0;50,0;1.5;12;2h;4;-3218033816,22;50,0
ADA/USDC;short;Supertrend;Down;7,0;4,0;None;12;1h;70;304844096480,52;72,86
BNB/USDC;long;HTF Crossover;Up;14,0;4,0;2.0;24;2h;42;219573741936,57;80,95
BNB/USDC;long;Jurik Moving Average;Up;20,0;50,0;None;24;12h;6;143748455,16;100,0
BNB/USDC;long;Kaufman AMA;Up;20,0;30,0;1.0;24;6h;3;-7653582,36;0,0
BNB/USDC;long;Supertrend;Up;14,0;2,0;None;24;6h;163;597910869,1;75,46
BNB/USDC;short;HTF Crossover;Down;7,0;2,0;None;12;6h;50;87287134865,79;94,0
BNB/USDC;short;Jurik Moving Average;Down;50,0;0,0;None;24;12h;265;174636467970,48;63,4
BNB/USDC;short;Kaufman AMA;Down;20,0;30,0;1.5;24;12h;5;-4869799183,35;0,0
BNB/USDC;short;Supertrend;Down;14,0;4,0;None;24;9h;52;38742591380,44;75,0
BTC/USDC;long;HTF Crossover;Up;7,0;2,0;None;12;2h;42;168729072704,7;83,33
BTC/USDC;long;Jurik Moving Average;Up;20,0;-50,0;None;24;12h;337;30927895534,45;59,64
BTC/USDC;long;Kaufman AMA;Up;30,0;40,0;2.0;24;2h;1;-3661,57;0,0
BTC/USDC;long;Supertrend;Up;7,0;2,0;None;24;2h;115;-18899726166,1;67,83
BTC/USDC;short;HTF Crossover;Down;7,0;2,0;None;0;4h;47;19943125059,87;76,6
BTC/USDC;short;Jurik Moving Average;Down;20,0;50,0;None;12;12h;6;10905760225,13;100,0
BTC/USDC;short;Kaufman AMA;Down;30,0;50,0;1.5;12;3h;4;3967465689,26;50,0
BTC/USDC;short;Supertrend;Down;14,0;3,0;1.0;24;4h;72;93746870232,02;40,28
ETH/USDC;long;HTF Crossover;Up;7,0;2,0;None;12;2h;54;243061622467,87;83,33
ETH/USDC;long;Jurik Moving Average;Up;30,0;0,0;2.0;12;12h;430;264189348270,52;56,98
ETH/USDC;long;Kaufman AMA;Up;20,0;40,0;None;24;1h;6;150304469,26;100,0
ETH/USDC;long;Supertrend;Up;14,0;3,0;None;12;5h;98;170077698480,15;65,31
ETH/USDC;short;HTF Crossover;Down;7,0;2,0;None;12;2h;50;76679965010,08;92,0
ETH/USDC;short;Jurik Moving Average;Down;20,0;0,0;None;12;12h;488;392768811804,97;59,22
