Symbol;ParamA;ParamB;Length;Factor;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldBars;ATRStopMult
LINK/USDC;14;3,0;14;3,0;1;0,0;-17,733336286489173;0,0;0,0;13982,266663713512;Short;24;1.0
LINK/USDC;14;4,0;14;4,0;1;0,0;-17,733336286489173;0,0;0,0;13982,266663713512;Short;24;1.0
LINK/USDC;14;4,0;14;4,0;1;0,0;-17,733336286489173;0,0;0,0;13982,266663713512;Short;12;1.0
LINK/USDC;14;4,0;14;4,0;1;0,0;-17,733336286489173;0,0;0,0;13982,266663713512;Short;0;1.0
LINK/USDC;14;2,0;14;2,0;1;0,0;-17,733336286489173;0,0;0,0;13982,266663713512;Short;12;1.0
LINK/USDC;14;2,0;14;2,0;1;0,0;-17,733336286489173;0,0;0,0;13982,266663713512;Short;24;1.0
LINK/USDC;14;3,0;14;3,0;1;0,0;-17,733336286489173;0,0;0,0;13982,266663713512;Short;12;1.0
LINK/USDC;14;3,0;14;3,0;1;0,0;-17,733336286489173;0,0;0,0;13982,266663713512;Short;0;1.0
LINK/USDC;14;2,0;14;2,0;1;0,0;-17,733336286489173;0,0;0,0;13982,266663713512;Short;0;1.0
LINK/USDC;10;2,0;10;2,0;1;0,0;-19,90092149991709;0,0;0,0;13980,099078500083;Short;0;1.0
LINK/USDC;10;2,0;10;2,0;1;0,0;-19,90092149991709;0,0;0,0;13980,099078500083;Short;24;1.0
LINK/USDC;10;2,0;10;2,0;1;0,0;-19,90092149991709;0,0;0,0;13980,099078500083;Short;12;1.0
LINK/USDC;10;3,0;10;3,0;1;0,0;-19,90092149991709;0,0;0,0;13980,099078500083;Short;12;1.0
LINK/USDC;10;4,0;10;4,0;1;0,0;-19,90092149991709;0,0;0,0;13980,099078500083;Short;0;1.0
LINK/USDC;10;4,0;10;4,0;1;0,0;-19,90092149991709;0,0;0,0;13980,099078500083;Short;24;1.0
LINK/USDC;10;4,0;10;4,0;1;0,0;-19,90092149991709;0,0;0,0;13980,099078500083;Short;12;1.0
LINK/USDC;10;3,0;10;3,0;1;0,0;-19,90092149991709;0,0;0,0;13980,099078500083;Short;0;1.0
LINK/USDC;10;3,0;10;3,0;1;0,0;-19,90092149991709;0,0;0,0;13980,099078500083;Short;24;1.0
LINK/USDC;7;4,0;7;4,0;1;0,0;-22,79597143897266;0,0;0,0;13977,204028561027;Short;0;1.0
LINK/USDC;7;2,0;7;2,0;1;0,0;-22,79597143897266;0,0;0,0;13977,204028561027;Short;0;1.0
LINK/USDC;7;3,0;7;3,0;1;0,0;-22,79597143897266;0,0;0,0;13977,204028561027;Short;0;1.0
LINK/USDC;7;3,0;7;3,0;1;0,0;-22,79597143897266;0,0;0,0;13977,204028561027;Short;24;1.0
LINK/USDC;7;3,0;7;3,0;1;0,0;-22,79597143897266;0,0;0,0;13977,204028561027;Short;12;1.0
LINK/USDC;7;4,0;7;4,0;1;0,0;-22,79597143897266;0,0;0,0;13977,204028561027;Short;12;1.0
LINK/USDC;7;2,0;7;2,0;1;0,0;-22,79597143897266;0,0;0,0;13977,204028561027;Short;24;1.0
LINK/USDC;7;2,0;7;2,0;1;0,0;-22,79597143897266;0,0;0,0;13977,204028561027;Short;12;1.0
LINK/USDC;7;4,0;7;4,0;1;0,0;-22,79597143897266;0,0;0,0;13977,204028561027;Short;24;1.0
LINK/USDC;14;3,0;14;3,0;1;0,0;-25,60000442973384;0,0;0,0;13974,399995570266;Short;12;1.5
LINK/USDC;14;4,0;14;4,0;1;0,0;-25,60000442973384;0,0;0,0;13974,399995570266;Short;24;1.5
LINK/USDC;14;3,0;14;3,0;1;0,0;-25,60000442973384;0,0;0,0;13974,399995570266;Short;0;1.5
