Symbol;ParamA;ParamB;Length;Factor;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldBars;ATRStopMult
ETH/USDC;14;3,0;14;3,0;3;0,3333333333333333;-3,6744008863609423;0,4609231663016169;7,307996301389721;13988,976797340918;Long;24;1.0
ETH/USDC;14;4,0;14;4,0;3;0,3333333333333333;-3,6744008863609423;0,4609231663016169;7,307996301389721;13988,976797340918;Long;24;1.0
ETH/USDC;14;4,0;14;4,0;3;0,3333333333333333;-3,6744008863609423;0,4609231663016169;7,307996301389721;13988,976797340918;Long;12;1.0
ETH/USDC;14;4,0;14;4,0;3;0,3333333333333333;-3,6744008863609423;0,4609231663016169;7,307996301389721;13988,976797340918;Long;0;1.0
ETH/USDC;14;2,0;14;2,0;3;0,3333333333333333;-3,6744008863609423;0,4609231663016169;7,307996301389721;13988,976797340918;Long;12;1.0
ETH/USDC;14;2,0;14;2,0;3;0,3333333333333333;-3,6744008863609423;0,4609231663016169;7,307996301389721;13988,976797340918;Long;24;1.0
ETH/USDC;14;3,0;14;3,0;3;0,3333333333333333;-3,6744008863609423;0,4609231663016169;7,307996301389721;13988,976797340918;Long;12;1.0
ETH/USDC;14;3,0;14;3,0;3;0,3333333333333333;-3,6744008863609423;0,4609231663016169;7,307996301389721;13988,976797340918;Long;0;1.0
ETH/USDC;14;2,0;14;2,0;3;0,3333333333333333;-3,6744008863609423;0,4609231663016169;7,307996301389721;13988,976797340918;Long;0;1.0
ETH/USDC;10;2,0;10;2,0;3;0,3333333333333333;-3,897596470906523;0,4462967660774296;7,305599036419153;13988,30721058728;Long;0;1.0
ETH/USDC;10;2,0;10;2,0;3;0,3333333333333333;-3,897596470906523;0,4462967660774296;7,305599036419153;13988,30721058728;Long;24;1.0
ETH/USDC;10;2,0;10;2,0;3;0,3333333333333333;-3,897596470906523;0,4462967660774296;7,305599036419153;13988,30721058728;Long;12;1.0
ETH/USDC;10;3,0;10;3,0;3;0,3333333333333333;-3,897596470906523;0,4462967660774296;7,305599036419153;13988,30721058728;Long;12;1.0
ETH/USDC;10;4,0;10;4,0;3;0,3333333333333333;-3,897596470906523;0,4462967660774296;7,305599036419153;13988,30721058728;Long;0;1.0
ETH/USDC;10;4,0;10;4,0;3;0,3333333333333333;-3,897596470906523;0,4462967660774296;7,305599036419153;13988,30721058728;Long;24;1.0
ETH/USDC;10;4,0;10;4,0;3;0,3333333333333333;-3,897596470906523;0,4462967660774296;7,305599036419153;13988,30721058728;Long;12;1.0
ETH/USDC;10;3,0;10;3,0;3;0,3333333333333333;-3,897596470906523;0,4462967660774296;7,305599036419153;13988,30721058728;Long;0;1.0
ETH/USDC;10;3,0;10;3,0;3;0,3333333333333333;-3,897596470906523;0,4462967660774296;7,305599036419153;13988,30721058728;Long;24;1.0
ETH/USDC;7;4,0;7;4,0;3;0,3333333333333333;-4,223000441292908;0,4265597570840399;7,292065137653481;13987,330998676121;Long;0;1.0
ETH/USDC;7;2,0;7;2,0;3;0,3333333333333333;-4,223000441292908;0,4265597570840399;7,292065137653481;13987,330998676121;Long;0;1.0
ETH/USDC;7;3,0;7;3,0;3;0,3333333333333333;-4,223000441292908;0,4265597570840399;7,292065137653481;13987,330998676121;Long;0;1.0
ETH/USDC;7;3,0;7;3,0;3;0,3333333333333333;-4,223000441292908;0,4265597570840399;7,292065137653481;13987,330998676121;Long;24;1.0
ETH/USDC;7;3,0;7;3,0;3;0,3333333333333333;-4,223000441292908;0,4265597570840399;7,292065137653481;13987,330998676121;Long;12;1.0
ETH/USDC;7;4,0;7;4,0;3;0,3333333333333333;-4,223000441292908;0,4265597570840399;7,292065137653481;13987,330998676121;Long;12;1.0
ETH/USDC;7;2,0;7;2,0;3;0,3333333333333333;-4,223000441292908;0,4265597570840399;7,292065137653481;13987,330998676121;Long;24;1.0
ETH/USDC;7;2,0;7;2,0;3;0,3333333333333333;-4,223000441292908;0,4265597570840399;7,292065137653481;13987,330998676121;Long;12;1.0
ETH/USDC;7;4,0;7;4,0;3;0,3333333333333333;-4,223000441292908;0,4265597570840399;7,292065137653481;13987,330998676121;Long;24;1.0
ETH/USDC;14;3,0;14;3,0;3;0,3333333333333333;-6,515891373550443;0,3252212820712142;10,258564451991333;13980,452325879349;Long;12;1.5
ETH/USDC;14;4,0;14;4,0;3;0,3333333333333333;-6,515891373550443;0,3252212820712142;10,258564451991333;13980,452325879349;Long;24;1.5
ETH/USDC;14;3,0;14;3,0;3;0,3333333333333333;-6,515891373550443;0,3252212820712142;10,258564451991333;13980,452325879349;Long;0;1.5
ETH/USDC;14;4,0;14;4,0;3;0,3333333333333333;-6,515891373550443;0,3252212820712142;10,258564451991333;13980,452325879349;Long;0;1.5
ETH/USDC;14;4,0;14;4,0;3;0,3333333333333333;-6,515891373550443;0,3252212820712142;10,258564451991333;13980,452325879349;Long;12;1.5
ETH/USDC;14;3,0;14;3,0;3;0,3333333333333333;-6,515891373550443;0,3252212820712142;10,258564451991333;13980,452325879349;Long;24;1.5
ETH/USDC;14;2,0;14;2,0;3;0,3333333333333333;-6,515891373550443;0,3252212820712142;10,258564451991333;13980,452325879349;Long;24;1.5
ETH/USDC;14;2,0;14;2,0;3;0,3333333333333333;-6,515891373550443;0,3252212820712142;10,258564451991333;13980,452325879349;Long;0;1.5
ETH/USDC;14;2,0;14;2,0;3;0,3333333333333333;-6,515891373550443;0,3252212820712142;10,258564451991333;13980,452325879349;Long;12;1.5
ETH/USDC;10;2,0;10;2,0;3;0,3333333333333333;-6,850614253572353;0,3143101138188876;10,254757064145451;13979,448157239283;Long;12;1.5
ETH/USDC;10;2,0;10;2,0;3;0,3333333333333333;-6,850614253572353;0,3143101138188876;10,254757064145451;13979,448157239283;Long;0;1.5
ETH/USDC;10;3,0;10;3,0;3;0,3333333333333333;-6,850614253572353;0,3143101138188876;10,254757064145451;13979,448157239283;Long;0;1.5
ETH/USDC;10;3,0;10;3,0;3;0,3333333333333333;-6,850614253572353;0,3143101138188876;10,254757064145451;13979,448157239283;Long;24;1.5
ETH/USDC;10;4,0;10;4,0;3;0,3333333333333333;-6,850614253572353;0,3143101138188876;10,254757064145451;13979,448157239283;Long;12;1.5
ETH/USDC;10;4,0;10;4,0;3;0,3333333333333333;-6,850614253572353;0,3143101138188876;10,254757064145451;13979,448157239283;Long;0;1.5
ETH/USDC;10;4,0;10;4,0;3;0,3333333333333333;-6,850614253572353;0,3143101138188876;10,254757064145451;13979,448157239283;Long;24;1.5
ETH/USDC;10;3,0;10;3,0;3;0,3333333333333333;-6,850614253572353;0,3143101138188876;10,254757064145451;13979,448157239283;Long;12;1.5
