Symbol;Direction;Indicator;IndicatorDisplay;ParamA;ParamB;Length;Factor;ATRStopMult;ATRStopMultValue;MinHoldBars;HTF;FinalEquity;Trades;WinRate;MaxDrawdown
BTC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;24;12h;14346,678499283233;26;0,8461538461538461;52,16295495250051
BTC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14144,061673972483;18;0,8333333333333334;44,55443799343266
ETH/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14488,98874365065;28;0,9642857142857143;11,719699764051256
ETH/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;12h;14567,044931147002;29;1,0;0,0
SOL/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;1.5;1,5;0;12h;14280,813093726707;21;0,8095238095238095;33,17022688060206
SOL/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;12;12h;14508,354538155856;30;1,0;0,0
XRP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14554,744387995082;27;0,9629629629629629;49,60732927853678
XRP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14621,793590078489;27;1,0;0,0
LINK/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14554,543453659246;45;0,8666666666666667;52,33491606592543
LINK/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14595,496864861934;19;1,0;0,0
SUI/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;24;12h;14557,825263283861;27;0,9259259259259259;15,925082647956515
SUI/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14447,45231101328;24;1,0;0,0
ZEC/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14060,639921196382;3;1,0;0,0
ZEC/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14078,088039520258;3;1,0;0,0
TNSR/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;1.0;1,0;0;12h;14772,952521117992;19;0,9473684210526315;14,334531065631381
TNSR/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;24;12h;15009,421319045667;38;1,0;0,0
ADA/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;2.0;2,0;0;12h;14608,861177522876;28;0,8214285714285714;43,084687463247974
ADA/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14461,866984113574;29;0,9655172413793104;0,03370201691541297
ICP/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14527,142613796674;32;0,9375;37,1448450441967
ICP/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14596,3631508423;20;0,95;3,8382633393975993
BNB/USDC;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;12;12h;14552,551837974963;31;0,967741935483871;95,98614092380558
BNB/USDC;Short;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14444,627609524217;26;0,9230769230769231;19,53745206899839
LUNC/USDT;Long;htf_crossover;HTF Crossover;7;2,0;;;None;;0;12h;14522,859187238053;20;1,0;0,0
LUNC/USDT;Short;htf_crossover;HTF Crossover;14;4,0;;;1.5;1,5;12;12h;14320,239665843119;26;0,8461538461538461;148,24107315593756
