Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldBars
2024-08-08 14:00:00+02:00;491,6;2024-08-08 23:00:00+02:00;513,6;300,0;0,6;Partial exit 3% (30%);12,825549227013832;14012,825549227015;Long;12
2024-08-08 14:00:00+02:00;491,6;2024-08-09 00:00:00+02:00;519,2;300,0;0,6;Partial exit 5% (30%);16,242961757526455;14029,068510984542;Long;12
2024-08-08 14:00:00+02:00;491,6;2024-08-11 22:00:00+02:00;505,9;399,99999999999994;0,7999999999999999;Trailing stop 5.0%;10,835475996745283;14039,903986981288;Long;12
2024-09-12 02:00:00+02:00;538,1;2024-09-13 20:00:00+02:00;555,0;300,8550854353133;0,6017101708706266;Partial exit 3% (30%);8,847185840756929;14048,751172822045;Long;12
2024-09-12 02:00:00+02:00;538,1;2024-09-19 14:00:00+02:00;565,8;300,8550854353133;0,6017101708706266;Partial exit 5% (30%);14,885533587832509;14063,636706409878;Long;12
2024-09-12 02:00:00+02:00;538,1;2024-09-23 03:00:00+02:00;595,2;401,140113913751;0,8022802278275021;Profit target 10.0%;41,76434401390301;14105,401050423781;Long;12
2024-12-10 23:00:00+01:00;676,5;2024-12-11 17:00:00+01:00;697,75;302,25859393765245;0,604517187875305;Partial exit 3% (30%);8,889932363011782;14114,290982786793;Long;12
2024-12-10 23:00:00+01:00;676,5;2024-12-12 00:00:00+01:00;711,64;302,25859393765245;0,604517187875305;Partial exit 5% (30%);15,0959513870975;14129,38693417389;Long;12
2024-12-10 23:00:00+01:00;676,5;2024-12-15 08:00:00+01:00;706,42;403,0114585835366;0,8060229171670732;Trailing stop 5.0%;17,018223706364925;14146,405157880256;Long;12
2025-02-11 01:00:00+01:00;621,49;2025-02-11 09:00:00+01:00;641,4;303,13725338314833;0,6062745067662967;Partial exit 3% (30%);9,105004379231021;14155,510162259487;Long;12
2025-02-11 01:00:00+01:00;621,49;2025-02-12 16:00:00+01:00;658,78;303,13725338314833;0,6062745067662967;Partial exit 5% (30%);17,582253351538085;14173,092415611025;Long;12
2025-02-11 01:00:00+01:00;621,49;2025-02-12 19:00:00+01:00;688,84;404,1830045108644;0,8083660090217288;Profit target 10.0%;42,992379544095336;14216,08479515512;Long;12
2025-03-15 13:00:00+01:00;596,97;2025-03-15 21:00:00+01:00;615,51;304,6303884676097;0,6092607769352194;Partial exit 3% (30%);8,851595551170837;14224,93639070629;Long;12
2025-03-15 13:00:00+01:00;596,97;2025-03-17 07:00:00+01:00;629,5;304,6303884676097;0,6092607769352194;Partial exit 5% (30%);15,99061281277839;14240,92700351907;Long;12
2025-03-15 13:00:00+01:00;596,97;2025-03-19 14:00:00+01:00;609,25;406,1738512901463;0,8123477025802925;Trailing stop 5.0%;7,542870974812181;14248,469874493881;Long;12
2025-04-12 14:00:00+02:00;591,98;2025-04-22 16:00:00+02:00;610,65;305,3243544534403;0,6106487089068806;Partial exit 3% (30%);9,018740286744524;14257,488614780626;Long;12
2025-04-12 14:00:00+02:00;591,98;2025-05-08 18:00:00+02:00;621,74;305,3243544534403;0,6106487089068806;Partial exit 5% (30%);14,738607665521952;14272,227222446149;Long;12
2025-04-12 14:00:00+02:00;591,98;2025-05-10 01:00:00+02:00;666,3;407,0991392712537;0,8141982785425075;Profit target 10.0%;50,29497438039792;14322,522196826547;Long;12
2025-06-29 14:00:00+02:00;650,67;2025-07-10 00:00:00+02:00;670,4;306,9111899319974;0,6138223798639948;Partial exit 3% (30%);8,692519970879568;14331,214716797427;Long;12
