Symbol;ParamA;ParamB;Length;Factor;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldBars;ATRStopMult
ADA/USDC;14;3,0;14;3,0;7;0,42857142857142855;0,6195091726789315;1,0652348361604196;66,47620296138302;14004,33656420875;Long;0;1.0
ADA/USDC;14;4,0;14;4,0;7;0,42857142857142855;0,6195091726789315;1,0652348361604196;66,47620296138302;14004,33656420875;Long;0;1.0
ADA/USDC;14;2,0;14;2,0;7;0,42857142857142855;0,6195091726789315;1,0652348361604196;66,47620296138302;14004,33656420875;Long;0;1.0
ADA/USDC;10;2,0;10;2,0;7;0,42857142857142855;0,4528323330159615;1,0468611549378868;67,64294083902314;14003,16982633111;Long;0;1.0
ADA/USDC;10;3,0;10;3,0;7;0,42857142857142855;0,4528323330159615;1,0468611549378868;67,64294083902314;14003,16982633111;Long;0;1.0
ADA/USDC;10;4,0;10;4,0;7;0,42857142857142855;0,4528323330159615;1,0468611549378868;67,64294083902314;14003,16982633111;Long;0;1.0
ADA/USDC;7;3,0;7;3,0;7;0,42857142857142855;0,07548817321731047;1,0075182770110254;70,284349957612;14000,528417212521;Long;0;1.0
ADA/USDC;7;2,0;7;2,0;7;0,42857142857142855;0,07548817321731047;1,0075182770110254;70,284349957612;14000,528417212521;Long;0;1.0
ADA/USDC;7;4,0;7;4,0;7;0,42857142857142855;0,07548817321731047;1,0075182770110254;70,284349957612;14000,528417212521;Long;0;1.0
ADA/USDC;14;3,0;14;3,0;7;0,42857142857142855;-1,2013792957972773;0,8938475392101941;79,2224222407167;13991,590344929416;Long;24;1.0
ADA/USDC;14;3,0;14;3,0;7;0,42857142857142855;-1,2013792957972773;0,8938475392101941;79,2224222407167;13991,590344929416;Long;12;1.0
ADA/USDC;14;2,0;14;2,0;7;0,42857142857142855;-1,2013792957972773;0,8938475392101941;79,2224222407167;13991,590344929416;Long;12;1.0
ADA/USDC;14;4,0;14;4,0;7;0,42857142857142855;-1,2013792957972773;0,8938475392101941;79,2224222407167;13991,590344929416;Long;12;1.0
ADA/USDC;14;4,0;14;4,0;7;0,42857142857142855;-1,2013792957972773;0,8938475392101941;79,2224222407167;13991,590344929416;Long;24;1.0
ADA/USDC;14;2,0;14;2,0;7;0,42857142857142855;-1,2013792957972773;0,8938475392101941;79,2224222407167;13991,590344929416;Long;24;1.0
ADA/USDC;10;2,0;10;2,0;7;0,42857142857142855;-1,2879959535852012;0,8870585730713307;79,82873884522996;13990,984028324903;Long;12;1.0
ADA/USDC;10;3,0;10;3,0;7;0,42857142857142855;-1,2879959535852012;0,8870585730713307;79,82873884522996;13990,984028324903;Long;12;1.0
ADA/USDC;10;3,0;10;3,0;7;0,42857142857142855;-1,2879959535852012;0,8870585730713307;79,82873884522996;13990,984028324903;Long;24;1.0
ADA/USDC;10;4,0;10;4,0;7;0,42857142857142855;-1,2879959535852012;0,8870585730713307;79,82873884522996;13990,984028324903;Long;24;1.0
ADA/USDC;10;4,0;10;4,0;7;0,42857142857142855;-1,2879959535852012;0,8870585730713307;79,82873884522996;13990,984028324903;Long;12;1.0
ADA/USDC;10;2,0;10;2,0;7;0,42857142857142855;-1,2879959535852012;0,8870585730713307;79,82873884522996;13990,984028324903;Long;24;1.0
ADA/USDC;7;3,0;7;3,0;7;0,42857142857142855;-1,4698058683640625;0,8731385644130836;81,10140824868176;13989,711358921451;Long;12;1.0
ADA/USDC;7;4,0;7;4,0;7;0,42857142857142855;-1,4698058683640625;0,8731385644130836;81,10140824868176;13989,711358921451;Long;12;1.0
ADA/USDC;7;3,0;7;3,0;7;0,42857142857142855;-1,4698058683640625;0,8731385644130836;81,10140824868176;13989,711358921451;Long;24;1.0
ADA/USDC;7;2,0;7;2,0;7;0,42857142857142855;-1,4698058683640625;0,8731385644130836;81,10140824868176;13989,711358921451;Long;24;1.0
ADA/USDC;7;2,0;7;2,0;7;0,42857142857142855;-1,4698058683640625;0,8731385644130836;81,10140824868176;13989,711358921451;Long;12;1.0
ADA/USDC;7;4,0;7;4,0;7;0,42857142857142855;-1,4698058683640625;0,8731385644130836;81,10140824868176;13989,711358921451;Long;24;1.0
ADA/USDC;14;4,0;14;4,0;7;0,42857142857142855;-2,9375789981967757;0,7749617683110112;91,37582015751286;13979,43694701262;Long;0;1.5
ADA/USDC;14;2,0;14;2,0;7;0,42857142857142855;-2,9375789981967757;0,7749617683110112;91,37582015751286;13979,43694701262;Long;0;1.5
ADA/USDC;14;3,0;14;3,0;7;0,42857142857142855;-2,9375789981967757;0,7749617683110112;91,37582015751286;13979,43694701262;Long;0;1.5
ADA/USDC;10;2,0;10;2,0;7;0,42857142857142855;-3,187265634136341;0,7604167679958358;93,12362660908911;13977,689140561044;Long;0;1.5
ADA/USDC;10;4,0;10;4,0;7;0,42857142857142855;-3,187265634136341;0,7604167679958358;93,12362660908911;13977,689140561044;Long;0;1.5
ADA/USDC;10;3,0;10;3,0;7;0,42857142857142855;-3,187265634136341;0,7604167679958358;93,12362660908911;13977,689140561044;Long;0;1.5
ADA/USDC;7;2,0;7;2,0;7;0,42857142857142855;-3,7525467780901844;0,729422470573795;97,08059461676385;13973,73217255337;Long;0;1.5
ADA/USDC;7;3,0;7;3,0;7;0,42857142857142855;-3,7525467780901844;0,729422470573795;97,08059461676385;13973,73217255337;Long;0;1.5
ADA/USDC;7;4,0;7;4,0;7;0,42857142857142855;-3,7525467780901844;0,729422470573795;97,08059461676385;13973,73217255337;Long;0;1.5
ADA/USDC;14;3,0;14;3,0;7;0,42857142857142855;-6,271614828558847;0,6172980051298552;114,71407097004885;13956,098696200084;Long;12;1.5
ADA/USDC;14;2,0;14;2,0;7;0,42857142857142855;-6,271614828558847;0,6172980051298552;114,71407097004885;13956,098696200084;Long;24;1.5
ADA/USDC;14;3,0;14;3,0;7;0,42857142857142855;-6,271614828558847;0,6172980051298552;114,71407097004885;13956,098696200084;Long;24;1.5
ADA/USDC;14;4,0;14;4,0;7;0,42857142857142855;-6,271614828558847;0,6172980051298552;114,71407097004885;13956,098696200084;Long;12;1.5
ADA/USDC;14;4,0;14;4,0;7;0,42857142857142855;-6,271614828558847;0,6172980051298552;114,71407097004885;13956,098696200084;Long;24;1.5
ADA/USDC;14;2,0;14;2,0;7;0,42857142857142855;-6,271614828558847;0,6172980051298552;114,71407097004885;13956,098696200084;Long;12;1.5
ADA/USDC;10;2,0;10;2,0;7;0,42857142857142855;-6,4012400084352254;0,6124535617494177;115,62144722917947;13955,191319940954;Long;12;1.5
ADA/USDC;10;4,0;10;4,0;7;0,42857142857142855;-6,4012400084352254;0,6124535617494177;115,62144722917947;13955,191319940954;Long;12;1.5
