Symbol;ParamA;ParamB;Length;Factor;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldBars;ATRStopMult
TNSR/USDC;14;3,0;14;3,0;7;0,0;-20,94415052980455;0,0;132,45904169636924;13853,39094629137;Long;24;1.0
TNSR/USDC;14;4,0;14;4,0;7;0,0;-20,94415052980455;0,0;132,45904169636924;13853,39094629137;Long;24;1.0
TNSR/USDC;14;4,0;14;4,0;7;0,0;-20,94415052980455;0,0;132,45904169636924;13853,39094629137;Long;12;1.0
TNSR/USDC;14;4,0;14;4,0;7;0,0;-20,94415052980455;0,0;132,45904169636924;13853,39094629137;Long;0;1.0
TNSR/USDC;14;2,0;14;2,0;7;0,0;-20,94415052980455;0,0;132,45904169636924;13853,39094629137;Long;12;1.0
TNSR/USDC;14;2,0;14;2,0;7;0,0;-20,94415052980455;0,0;132,45904169636924;13853,39094629137;Long;24;1.0
TNSR/USDC;14;3,0;14;3,0;7;0,0;-20,94415052980455;0,0;132,45904169636924;13853,39094629137;Long;12;1.0
TNSR/USDC;14;3,0;14;3,0;7;0,0;-20,94415052980455;0,0;132,45904169636924;13853,39094629137;Long;0;1.0
TNSR/USDC;14;2,0;14;2,0;7;0,0;-20,94415052980455;0,0;132,45904169636924;13853,39094629137;Long;0;1.0
TNSR/USDC;14;3,0;14;3,0;8;0,25;-18,665381169231367;0,17174182082650805;126,68841870338838;13850,676950646148;Long;0;2.0
TNSR/USDC;14;2,0;14;2,0;8;0,25;-18,665381169231367;0,17174182082650805;126,68841870338838;13850,676950646148;Long;12;2.0
TNSR/USDC;14;2,0;14;2,0;8;0,25;-18,665381169231367;0,17174182082650805;126,68841870338838;13850,676950646148;Long;24;2.0
TNSR/USDC;14;3,0;14;3,0;8;0,25;-18,665381169231367;0,17174182082650805;126,68841870338838;13850,676950646148;Long;12;2.0
TNSR/USDC;14;3,0;14;3,0;8;0,25;-18,665381169231367;0,17174182082650805;126,68841870338838;13850,676950646148;Long;24;2.0
TNSR/USDC;14;4,0;14;4,0;8;0,25;-18,665381169231367;0,17174182082650805;126,68841870338838;13850,676950646148;Long;12;2.0
TNSR/USDC;14;4,0;14;4,0;8;0,25;-18,665381169231367;0,17174182082650805;126,68841870338838;13850,676950646148;Long;0;2.0
TNSR/USDC;14;4,0;14;4,0;8;0,25;-18,665381169231367;0,17174182082650805;126,68841870338838;13850,676950646148;Long;24;2.0
TNSR/USDC;14;2,0;14;2,0;8;0,25;-18,665381169231367;0,17174182082650805;126,68841870338838;13850,676950646148;Long;0;2.0
TNSR/USDC;10;2,0;10;2,0;7;0,0;-21,35493317369772;0,0;134,9916261254366;13850,515467784116;Long;0;1.0
TNSR/USDC;10;2,0;10;2,0;7;0,0;-21,35493317369772;0,0;134,9916261254366;13850,515467784116;Long;12;1.0
TNSR/USDC;10;3,0;10;3,0;7;0,0;-21,35493317369772;0,0;134,9916261254366;13850,515467784116;Long;12;1.0
TNSR/USDC;10;4,0;10;4,0;7;0,0;-21,35493317369772;0,0;134,9916261254366;13850,515467784116;Long;0;1.0
TNSR/USDC;10;4,0;10;4,0;7;0,0;-21,35493317369772;0,0;134,9916261254366;13850,515467784116;Long;24;1.0
TNSR/USDC;10;4,0;10;4,0;7;0,0;-21,35493317369772;0,0;134,9916261254366;13850,515467784116;Long;12;1.0
TNSR/USDC;10;3,0;10;3,0;7;0,0;-21,35493317369772;0,0;134,9916261254366;13850,515467784116;Long;0;1.0
TNSR/USDC;10;3,0;10;3,0;7;0,0;-21,35493317369772;0,0;134,9916261254366;13850,515467784116;Long;24;1.0
TNSR/USDC;10;2,0;10;2,0;7;0,0;-21,35493317369772;0,0;134,9916261254366;13850,515467784116;Long;24;1.0
TNSR/USDC;7;2,0;7;2,0;7;0,0;-21,60168637017666;0,0;136,17901925873775;13848,788195408764;Long;0;1.0
TNSR/USDC;7;4,0;7;4,0;7;0,0;-21,60168637017666;0,0;136,17901925873775;13848,788195408764;Long;0;1.0
TNSR/USDC;7;3,0;7;3,0;7;0,0;-21,60168637017666;0,0;136,17901925873775;13848,788195408764;Long;24;1.0
TNSR/USDC;7;3,0;7;3,0;7;0,0;-21,60168637017666;0,0;136,17901925873775;13848,788195408764;Long;12;1.0
TNSR/USDC;7;4,0;7;4,0;7;0,0;-21,60168637017666;0,0;136,17901925873775;13848,788195408764;Long;12;1.0
TNSR/USDC;7;3,0;7;3,0;7;0,0;-21,60168637017666;0,0;136,17901925873775;13848,788195408764;Long;0;1.0
