Symbol;ParamA;ParamB;Length;Factor;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldBars;ATRStopMult
ZEC/USDC;7;2,0;7;2,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;0;None
ZEC/USDC;7;2,0;7;2,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;12;None
ZEC/USDC;7;2,0;7;2,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;24;None
ZEC/USDC;10;2,0;10;2,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;0;None
ZEC/USDC;10;2,0;10;2,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;12;None
ZEC/USDC;10;2,0;10;2,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;24;None
ZEC/USDC;7;4,0;7;4,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;0;None
ZEC/USDC;7;4,0;7;4,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;24;None
ZEC/USDC;7;4,0;7;4,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;12;None
ZEC/USDC;7;3,0;7;3,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;24;None
ZEC/USDC;7;3,0;7;3,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;12;None
ZEC/USDC;7;3,0;7;3,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;0;None
ZEC/USDC;10;4,0;10;4,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;0;None
ZEC/USDC;14;3,0;14;3,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;24;None
ZEC/USDC;14;3,0;14;3,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;12;None
ZEC/USDC;14;4,0;14;4,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;12;None
ZEC/USDC;14;4,0;14;4,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;24;None
ZEC/USDC;14;4,0;14;4,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;0;None
ZEC/USDC;14;3,0;14;3,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;0;None
ZEC/USDC;14;2,0;14;2,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;0;None
ZEC/USDC;14;2,0;14;2,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;24;None
ZEC/USDC;10;4,0;10;4,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;12;None
ZEC/USDC;10;4,0;10;4,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;24;None
ZEC/USDC;14;2,0;14;2,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;12;None
ZEC/USDC;10;3,0;10;3,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;24;None
ZEC/USDC;10;3,0;10;3,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;0;None
ZEC/USDC;10;3,0;10;3,0;5;1,0;19,641585355206576;inf;0,0;14098,207926776033;Long;12;None
