Symbol;ParamA;ParamB;Length;Factor;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldBars;ATRStopMult
BTC/USDC;7;2,0;7;2,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;0;None
BTC/USDC;7;2,0;7;2,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;12;None
BTC/USDC;7;2,0;7;2,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;24;None
BTC/USDC;10;2,0;10;2,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;0;None
BTC/USDC;10;2,0;10;2,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;12;None
BTC/USDC;10;2,0;10;2,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;24;None
BTC/USDC;7;4,0;7;4,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;0;None
BTC/USDC;7;4,0;7;4,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;24;None
BTC/USDC;7;4,0;7;4,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;12;None
BTC/USDC;7;3,0;7;3,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;24;None
BTC/USDC;7;3,0;7;3,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;12;None
BTC/USDC;7;3,0;7;3,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;0;None
BTC/USDC;10;4,0;10;4,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;0;None
BTC/USDC;14;3,0;14;3,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;24;None
BTC/USDC;14;3,0;14;3,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;12;None
BTC/USDC;14;4,0;14;4,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;12;None
BTC/USDC;14;4,0;14;4,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;24;None
BTC/USDC;14;4,0;14;4,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;0;None
BTC/USDC;14;3,0;14;3,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;0;None
BTC/USDC;14;2,0;14;2,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;0;None
BTC/USDC;14;2,0;14;2,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;24;None
BTC/USDC;10;4,0;10;4,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;12;None
BTC/USDC;10;4,0;10;4,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;24;None
BTC/USDC;14;2,0;14;2,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;12;None
BTC/USDC;10;3,0;10;3,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;24;None
BTC/USDC;10;3,0;10;3,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;0;None
BTC/USDC;10;3,0;10;3,0;12;0,75;-1,268696395044773;0,9198794155143869;190,01804390569487;13984,775643259463;Short;12;None
BTC/USDC;14;2,0;14;2,0;8;0,375;-4,116882190149268;0,6810994072854797;103,2768777280944;13967,064942478804;Short;0;2.0
BTC/USDC;14;4,0;14;4,0;8;0,375;-4,116882190149268;0,6810994072854797;103,2768777280944;13967,064942478804;Short;12;2.0
BTC/USDC;14;4,0;14;4,0;8;0,375;-4,116882190149268;0,6810994072854797;103,2768777280944;13967,064942478804;Short;24;2.0
BTC/USDC;14;3,0;14;3,0;8;0,375;-4,116882190149268;0,6810994072854797;103,2768777280944;13967,064942478804;Short;24;2.0
BTC/USDC;14;3,0;14;3,0;8;0,375;-4,116882190149268;0,6810994072854797;103,2768777280944;13967,064942478804;Short;12;2.0
BTC/USDC;14;3,0;14;3,0;8;0,375;-4,116882190149268;0,6810994072854797;103,2768777280944;13967,064942478804;Short;0;2.0
BTC/USDC;14;2,0;14;2,0;8;0,375;-4,116882190149268;0,6810994072854797;103,2768777280944;13967,064942478804;Short;24;2.0
BTC/USDC;14;4,0;14;4,0;8;0,375;-4,116882190149268;0,6810994072854797;103,2768777280944;13967,064942478804;Short;0;2.0
BTC/USDC;14;2,0;14;2,0;8;0,375;-4,116882190149268;0,6810994072854797;103,2768777280944;13967,064942478804;Short;12;2.0
BTC/USDC;10;3,0;10;3,0;8;0,375;-4,751324959139207;0,649194732196977;108,35241988001326;13961,989400326886;Short;12;2.0
BTC/USDC;10;3,0;10;3,0;8;0,375;-4,751324959139207;0,649194732196977;108,35241988001326;13961,989400326886;Short;24;2.0
BTC/USDC;10;2,0;10;2,0;8;0,375;-4,751324959139207;0,649194732196977;108,35241988001326;13961,989400326886;Short;24;2.0
BTC/USDC;10;2,0;10;2,0;8;0,375;-4,751324959139207;0,649194732196977;108,35241988001326;13961,989400326886;Short;12;2.0
BTC/USDC;10;2,0;10;2,0;8;0,375;-4,751324959139207;0,649194732196977;108,35241988001326;13961,989400326886;Short;0;2.0
BTC/USDC;10;3,0;10;3,0;8;0,375;-4,751324959139207;0,649194732196977;108,35241988001326;13961,989400326886;Short;0;2.0
BTC/USDC;10;4,0;10;4,0;8;0,375;-4,751324959139207;0,649194732196977;108,35241988001326;13961,989400326886;Short;0;2.0
BTC/USDC;10;4,0;10;4,0;8;0,375;-4,751324959139207;0,649194732196977;108,35241988001326;13961,989400326886;Short;24;2.0
BTC/USDC;10;4,0;10;4,0;8;0,375;-4,751324959139207;0,649194732196977;108,35241988001326;13961,989400326886;Short;12;2.0
BTC/USDC;7;2,0;7;2,0;8;0,375;-5,5164711634750425;0,6144807767897134;114,4735895147005;13955,868230692198;Short;24;2.0
BTC/USDC;7;3,0;7;3,0;8;0,375;-5,5164711634750425;0,6144807767897134;114,4735895147005;13955,868230692198;Short;12;2.0
BTC/USDC;7;4,0;7;4,0;8;0,375;-5,5164711634750425;0,6144807767897134;114,4735895147005;13955,868230692198;Short;12;2.0
BTC/USDC;7;4,0;7;4,0;8;0,375;-5,5164711634750425;0,6144807767897134;114,4735895147005;13955,868230692198;Short;0;2.0
BTC/USDC;7;4,0;7;4,0;8;0,375;-5,5164711634750425;0,6144807767897134;114,4735895147005;13955,868230692198;Short;24;2.0
BTC/USDC;7;3,0;7;3,0;8;0,375;-5,5164711634750425;0,6144807767897134;114,4735895147005;13955,868230692198;Short;24;2.0
BTC/USDC;7;3,0;7;3,0;8;0,375;-5,5164711634750425;0,6144807767897134;114,4735895147005;13955,868230692198;Short;0;2.0
BTC/USDC;7;2,0;7;2,0;8;0,375;-5,5164711634750425;0,6144807767897134;114,4735895147005;13955,868230692198;Short;0;2.0
BTC/USDC;7;2,0;7;2,0;8;0,375;-5,5164711634750425;0,6144807767897134;114,4735895147005;13955,868230692198;Short;12;2.0
BTC/USDC;14;2,0;14;2,0;6;0,0;-10,849558343135024;0,0;56,40453671756586;13934,90264994119;Short;12;1.0
BTC/USDC;14;4,0;14;4,0;6;0,0;-10,849558343135024;0,0;56,40453671756586;13934,90264994119;Short;0;1.0
BTC/USDC;14;3,0;14;3,0;6;0,0;-10,849558343135024;0,0;56,40453671756586;13934,90264994119;Short;24;1.0
BTC/USDC;14;3,0;14;3,0;6;0,0;-10,849558343135024;0,0;56,40453671756586;13934,90264994119;Short;0;1.0
BTC/USDC;14;4,0;14;4,0;6;0,0;-10,849558343135024;0,0;56,40453671756586;13934,90264994119;Short;24;1.0
BTC/USDC;14;4,0;14;4,0;6;0,0;-10,849558343135024;0,0;56,40453671756586;13934,90264994119;Short;12;1.0
BTC/USDC;14;3,0;14;3,0;6;0,0;-10,849558343135024;0,0;56,40453671756586;13934,90264994119;Short;12;1.0
BTC/USDC;14;2,0;14;2,0;6;0,0;-10,849558343135024;0,0;56,40453671756586;13934,90264994119;Short;0;1.0
BTC/USDC;14;2,0;14;2,0;6;0,0;-10,849558343135024;0,0;56,40453671756586;13934,90264994119;Short;24;1.0
BTC/USDC;10;4,0;10;4,0;6;0,0;-11,330302866400132;0,0;58,93331701121133;13932,0181828016;Short;12;1.0
BTC/USDC;10;2,0;10;2,0;6;0,0;-11,330302866400132;0,0;58,93331701121133;13932,0181828016;Short;0;1.0
BTC/USDC;10;2,0;10;2,0;6;0,0;-11,330302866400132;0,0;58,93331701121133;13932,0181828016;Short;24;1.0
BTC/USDC;10;2,0;10;2,0;6;0,0;-11,330302866400132;0,0;58,93331701121133;13932,0181828016;Short;12;1.0
BTC/USDC;10;3,0;10;3,0;6;0,0;-11,330302866400132;0,0;58,93331701121133;13932,0181828016;Short;12;1.0
BTC/USDC;10;4,0;10;4,0;6;0,0;-11,330302866400132;0,0;58,93331701121133;13932,0181828016;Short;0;1.0
BTC/USDC;10;3,0;10;3,0;6;0,0;-11,330302866400132;0,0;58,93331701121133;13932,0181828016;Short;0;1.0
BTC/USDC;10;3,0;10;3,0;6;0,0;-11,330302866400132;0,0;58,93331701121133;13932,0181828016;Short;24;1.0
BTC/USDC;10;4,0;10;4,0;6;0,0;-11,330302866400132;0,0;58,93331701121133;13932,0181828016;Short;24;1.0
BTC/USDC;7;2,0;7;2,0;6;0,0;-11,907408236951262;0,0;61,98342521908671;13928,555550578292;Short;24;1.0
BTC/USDC;7;4,0;7;4,0;6;0,0;-11,907408236951262;0,0;61,98342521908671;13928,555550578292;Short;24;1.0
BTC/USDC;7;2,0;7;2,0;6;0,0;-11,907408236951262;0,0;61,98342521908671;13928,555550578292;Short;0;1.0
BTC/USDC;7;2,0;7;2,0;6;0,0;-11,907408236951262;0,0;61,98342521908671;13928,555550578292;Short;12;1.0
BTC/USDC;7;4,0;7;4,0;6;0,0;-11,907408236951262;0,0;61,98342521908671;13928,555550578292;Short;12;1.0
BTC/USDC;7;3,0;7;3,0;6;0,0;-11,907408236951262;0,0;61,98342521908671;13928,555550578292;Short;0;1.0
BTC/USDC;7;3,0;7;3,0;6;0,0;-11,907408236951262;0,0;61,98342521908671;13928,555550578292;Short;24;1.0
BTC/USDC;7;4,0;7;4,0;6;0,0;-11,907408236951262;0,0;61,98342521908671;13928,555550578292;Short;0;1.0
BTC/USDC;7;3,0;7;3,0;6;0,0;-11,907408236951262;0,0;61,98342521908671;13928,555550578292;Short;12;1.0
BTC/USDC;14;3,0;14;3,0;6;0,0;-15,26433261781608;0,0;79,54677569503292;13908,414004293103;Short;12;1.5
BTC/USDC;14;2,0;14;2,0;6;0,0;-15,26433261781608;0,0;79,54677569503292;13908,414004293103;Short;12;1.5
BTC/USDC;14;3,0;14;3,0;6;0,0;-15,26433261781608;0,0;79,54677569503292;13908,414004293103;Short;0;1.5
BTC/USDC;14;4,0;14;4,0;6;0,0;-15,26433261781608;0,0;79,54677569503292;13908,414004293103;Short;24;1.5
BTC/USDC;14;4,0;14;4,0;6;0,0;-15,26433261781608;0,0;79,54677569503292;13908,414004293103;Short;0;1.5
BTC/USDC;14;4,0;14;4,0;6;0,0;-15,26433261781608;0,0;79,54677569503292;13908,414004293103;Short;12;1.5
BTC/USDC;14;2,0;14;2,0;6;0,0;-15,26433261781608;0,0;79,54677569503292;13908,414004293103;Short;24;1.5
BTC/USDC;14;3,0;14;3,0;6;0,0;-15,26433261781608;0,0;79,54677569503292;13908,414004293103;Short;24;1.5
BTC/USDC;14;2,0;14;2,0;6;0,0;-15,26433261781608;0,0;79,54677569503292;13908,414004293103;Short;0;1.5
BTC/USDC;10;2,0;10;2,0;6;0,0;-15,984297385897944;0,0;83,33303403460377;13904,094215684612;Short;12;1.5
BTC/USDC;10;2,0;10;2,0;6;0,0;-15,984297385897944;0,0;83,33303403460377;13904,094215684612;Short;0;1.5
BTC/USDC;10;2,0;10;2,0;6;0,0;-15,984297385897944;0,0;83,33303403460377;13904,094215684612;Short;24;1.5
BTC/USDC;10;4,0;10;4,0;6;0,0;-15,984297385897944;0,0;83,33303403460377;13904,094215684612;Short;24;1.5
BTC/USDC;10;4,0;10;4,0;6;0,0;-15,984297385897944;0,0;83,33303403460377;13904,094215684612;Short;0;1.5
BTC/USDC;10;4,0;10;4,0;6;0,0;-15,984297385897944;0,0;83,33303403460377;13904,094215684612;Short;12;1.5
BTC/USDC;10;3,0;10;3,0;6;0,0;-15,984297385897944;0,0;83,33303403460377;13904,094215684612;Short;12;1.5
BTC/USDC;10;3,0;10;3,0;6;0,0;-15,984297385897944;0,0;83,33303403460377;13904,094215684612;Short;0;1.5
BTC/USDC;10;3,0;10;3,0;6;0,0;-15,984297385897944;0,0;83,33303403460377;13904,094215684612;Short;24;1.5
BTC/USDC;7;4,0;7;4,0;6;0,0;-16,848494248723853;0,0;87,89942918841189;13898,909034507657;Short;12;1.5
BTC/USDC;7;2,0;7;2,0;6;0,0;-16,848494248723853;0,0;87,89942918841189;13898,909034507657;Short;0;1.5
BTC/USDC;7;4,0;7;4,0;6;0,0;-16,848494248723853;0,0;87,89942918841189;13898,909034507657;Short;0;1.5
BTC/USDC;7;4,0;7;4,0;6;0,0;-16,848494248723853;0,0;87,89942918841189;13898,909034507657;Short;24;1.5
BTC/USDC;7;3,0;7;3,0;6;0,0;-16,848494248723853;0,0;87,89942918841189;13898,909034507657;Short;24;1.5
BTC/USDC;7;3,0;7;3,0;6;0,0;-16,848494248723853;0,0;87,89942918841189;13898,909034507657;Short;12;1.5
BTC/USDC;7;3,0;7;3,0;6;0,0;-16,848494248723853;0,0;87,89942918841189;13898,909034507657;Short;0;1.5
BTC/USDC;7;2,0;7;2,0;6;0,0;-16,848494248723853;0,0;87,89942918841189;13898,909034507657;Short;12;1.5
BTC/USDC;7;2,0;7;2,0;6;0,0;-16,848494248723853;0,0;87,89942918841189;13898,909034507657;Short;24;1.5
