Symbol;ParamA;ParamB;Length;Factor;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldBars;ATRStopMult
ICP/USDC;7;2,0;7;2,0;40;0,875;16,528138950978516;7,0081826247833705;67,42594002533588;14661,125558039139;Long;0;2.0
ICP/USDC;7;3,0;7;3,0;40;0,875;16,528138950978516;7,0081826247833705;67,42594002533588;14661,125558039139;Long;0;2.0
ICP/USDC;7;4,0;7;4,0;40;0,875;16,528138950978516;7,0081826247833705;67,42594002533588;14661,125558039139;Long;0;2.0
ICP/USDC;14;2,0;14;2,0;39;0,8461538461538461;16,39625876851558;6,456795573672705;87,01318486972377;14639,454091972111;Long;12;1.5
ICP/USDC;14;4,0;14;4,0;39;0,8461538461538461;16,39625876851558;6,456795573672705;87,01318486972377;14639,454091972111;Long;12;1.5
ICP/USDC;14;2,0;14;2,0;39;0,8461538461538461;16,39625876851558;6,456795573672705;87,01318486972377;14639,454091972111;Long;0;1.5
ICP/USDC;14;2,0;14;2,0;39;0,8461538461538461;16,39625876851558;6,456795573672705;87,01318486972377;14639,454091972111;Long;24;1.5
ICP/USDC;14;3,0;14;3,0;39;0,8461538461538461;16,39625876851558;6,456795573672705;87,01318486972377;14639,454091972111;Long;0;1.5
ICP/USDC;14;3,0;14;3,0;39;0,8461538461538461;16,39625876851558;6,456795573672705;87,01318486972377;14639,454091972111;Long;12;1.5
ICP/USDC;14;4,0;14;4,0;39;0,8461538461538461;16,39625876851558;6,456795573672705;87,01318486972377;14639,454091972111;Long;0;1.5
ICP/USDC;14;4,0;14;4,0;39;0,8461538461538461;16,39625876851558;6,456795573672705;87,01318486972377;14639,454091972111;Long;24;1.5
ICP/USDC;14;3,0;14;3,0;39;0,8461538461538461;16,39625876851558;6,456795573672705;87,01318486972377;14639,454091972111;Long;24;1.5
ICP/USDC;10;3,0;10;3,0;39;0,8461538461538461;16,227313884142344;6,122214973412107;93,05321914015258;14632,86524148155;Long;12;1.5
ICP/USDC;10;4,0;10;4,0;39;0,8461538461538461;16,227313884142344;6,122214973412107;93,05321914015258;14632,86524148155;Long;0;1.5
ICP/USDC;10;4,0;10;4,0;39;0,8461538461538461;16,227313884142344;6,122214973412107;93,05321914015258;14632,86524148155;Long;24;1.5
ICP/USDC;10;4,0;10;4,0;39;0,8461538461538461;16,227313884142344;6,122214973412107;93,05321914015258;14632,86524148155;Long;12;1.5
