Symbol;ParamA;ParamB;Length;Factor;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldBars;ATRStopMult
SOL/USDC;7;2,0;7;2,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;0;None
SOL/USDC;7;2,0;7;2,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;12;None
SOL/USDC;7;2,0;7;2,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;24;None
SOL/USDC;10;2,0;10;2,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;0;None
SOL/USDC;10;2,0;10;2,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;12;None
SOL/USDC;10;2,0;10;2,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;24;None
SOL/USDC;7;4,0;7;4,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;0;None
SOL/USDC;7;4,0;7;4,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;24;None
SOL/USDC;7;4,0;7;4,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;12;None
SOL/USDC;7;3,0;7;3,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;24;None
SOL/USDC;7;3,0;7;3,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;12;None
SOL/USDC;7;3,0;7;3,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;0;None
SOL/USDC;10;4,0;10;4,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;0;None
SOL/USDC;14;3,0;14;3,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;24;None
SOL/USDC;14;3,0;14;3,0;27;0,8888888888888888;12,109143581762282;3,226476264491296;123,6002321386095;14326,946876707583;Long;12;None
