Symbol;ParamA;ParamB;Length;Factor;Trades;WinRate;AvgPnL;ProfitFactor;MaxDrawdown;FinalEquity;Direction;MinHoldBars;ATRStopMult
XRP/USDC;14;4,0;14;4,0;11;0,8181818181818182;8,86131726988265;3,4130415320523935;24,30155179014764;14097,47448996871;Short;12;1.5
XRP/USDC;14;4,0;14;4,0;11;0,8181818181818182;8,86131726988265;3,4130415320523935;24,30155179014764;14097,47448996871;Short;24;1.5
XRP/USDC;14;3,0;14;3,0;11;0,8181818181818182;8,86131726988265;3,4130415320523935;24,30155179014764;14097,47448996871;Short;12;1.5
XRP/USDC;14;3,0;14;3,0;11;0,8181818181818182;8,86131726988265;3,4130415320523935;24,30155179014764;14097,47448996871;Short;24;1.5
XRP/USDC;14;2,0;14;2,0;11;0,8181818181818182;8,86131726988265;3,4130415320523935;24,30155179014764;14097,47448996871;Short;12;1.5
XRP/USDC;14;2,0;14;2,0;11;0,8181818181818182;8,86131726988265;3,4130415320523935;24,30155179014764;14097,47448996871;Short;24;1.5
XRP/USDC;10;3,0;10;3,0;11;0,8181818181818182;8,823693986432728;3,378415221889058;24,80024333815163;14097,06063385076;Short;12;1.5
XRP/USDC;10;2,0;10;2,0;11;0,8181818181818182;8,823693986432728;3,378415221889058;24,80024333815163;14097,06063385076;Short;24;1.5
XRP/USDC;10;2,0;10;2,0;11;0,8181818181818182;8,823693986432728;3,378415221889058;24,80024333815163;14097,06063385076;Short;12;1.5
XRP/USDC;10;3,0;10;3,0;11;0,8181818181818182;8,823693986432728;3,378415221889058;24,80024333815163;14097,06063385076;Short;24;1.5
XRP/USDC;10;4,0;10;4,0;11;0,8181818181818182;8,823693986432728;3,378415221889058;24,80024333815163;14097,06063385076;Short;12;1.5
XRP/USDC;10;4,0;10;4,0;11;0,8181818181818182;8,823693986432728;3,378415221889058;24,80024333815163;14097,06063385076;Short;24;1.5
XRP/USDC;7;3,0;7;3,0;11;0,8181818181818182;8,802549366778232;3,359233966163212;25,257832273600798;14096,828043034562;Short;24;1.5
XRP/USDC;7;4,0;7;4,0;11;0,8181818181818182;8,802549366778232;3,359233966163212;25,257832273600798;14096,828043034562;Short;12;1.5
XRP/USDC;7;4,0;7;4,0;11;0,8181818181818182;8,802549366778232;3,359233966163212;25,257832273600798;14096,828043034562;Short;24;1.5
XRP/USDC;7;2,0;7;2,0;11;0,8181818181818182;8,802549366778232;3,359233966163212;25,257832273600798;14096,828043034562;Short;12;1.5
XRP/USDC;7;3,0;7;3,0;11;0,8181818181818182;8,802549366778232;3,359233966163212;25,257832273600798;14096,828043034562;Short;12;1.5
XRP/USDC;7;2,0;7;2,0;11;0,8181818181818182;8,802549366778232;3,359233966163212;25,257832273600798;14096,828043034562;Short;24;1.5
XRP/USDC;14;2,0;14;2,0;11;0,8181818181818182;7,759201398532635;2,6255710004722204;31,71903027944245;14085,35121538386;Short;24;2.0
XRP/USDC;14;2,0;14;2,0;11;0,8181818181818182;7,759201398532635;2,6255710004722204;31,71903027944245;14085,35121538386;Short;12;2.0
XRP/USDC;14;3,0;14;3,0;11;0,8181818181818182;7,759201398532635;2,6255710004722204;31,71903027944245;14085,35121538386;Short;12;2.0
XRP/USDC;14;3,0;14;3,0;11;0,8181818181818182;7,759201398532635;2,6255710004722204;31,71903027944245;14085,35121538386;Short;24;2.0
XRP/USDC;14;4,0;14;4,0;11;0,8181818181818182;7,759201398532635;2,6255710004722204;31,71903027944245;14085,35121538386;Short;12;2.0
