Indicator;IndicatorDisplay;HTF;Symbol;Direction;ParamA;ParamB;Length;Factor;ATRStopMultValue;ATRStopMult;MinHoldBars;FinalEquity;Trades;WinRate;MaxDrawdown;TradesCSV
supertrend;Supertrend;6h;ADA/USDC;Long;7;4,0;7;4,0;;None;24;14591,11259822006;32;0,75;153,53731580788917;report_html/supertrend_6h/trades_ADA_USDC_supertrend_best.csv
supertrend;Supertrend;6h;ADA/USDC;Short;14;2,0;14;2,0;1,5;1.5;12;14918,686259950977;106;0,6037735849056604;227,29312462988855;report_html/supertrend_6h/trades_ADA_USDC_supertrend_best_short.csv
supertrend;Supertrend;6h;BTC/USDC;Long;7;4,0;7;4,0;1,0;1.0;12;14057,710258635218;43;0,4186046511627907;137,86533728566064;report_html/supertrend_6h/trades_BTC_USDC_supertrend_best.csv
supertrend;Supertrend;6h;BTC/USDC;Short;14;3,0;14;3,0;1,0;1.0;24;14315,18161954488;54;0,48148148148148145;177,1024136647393;report_html/supertrend_6h/trades_BTC_USDC_supertrend_best_short.csv
supertrend;Supertrend;6h;ETH/USDC;Long;10;3,0;10;3,0;;None;24;14662,969998757126;51;0,7254901960784313;181,63482561867022;report_html/supertrend_6h/trades_ETH_USDC_supertrend_best.csv
supertrend;Supertrend;6h;ETH/USDC;Short;7;3,0;7;3,0;;None;24;14882,845761372846;69;0,7391304347826086;217,19089290675402;report_html/supertrend_6h/trades_ETH_USDC_supertrend_best_short.csv
supertrend;Supertrend;6h;ICP/USDC;Long;14;2,0;14;2,0;2,0;2.0;12;14497,758655819238;67;0,6417910447761194;426,48709269973915;report_html/supertrend_6h/trades_ICP_USDC_supertrend_best.csv
supertrend;Supertrend;6h;ICP/USDC;Short;7;2,0;7;2,0;;None;24;15195,998417990057;126;0,7698412698412699;239,84750918952705;report_html/supertrend_6h/trades_ICP_USDC_supertrend_best_short.csv
supertrend;Supertrend;6h;LINK/USDC;Long;10;3,0;10;3,0;;None;24;14685,715002002853;61;0,7540983606557377;265,7630977359713;report_html/supertrend_6h/trades_LINK_USDC_supertrend_best.csv
supertrend;Supertrend;6h;LINK/USDC;Short;10;4,0;10;4,0;;None;24;14858,862456749763;46;0,8478260869565217;324,8806068063477;report_html/supertrend_6h/trades_LINK_USDC_supertrend_best_short.csv
supertrend;Supertrend;6h;SOL/USDC;Long;14;4,0;14;4,0;1,5;1.5;0;14415,201750402872;48;0,625;188,10035105275347;report_html/supertrend_6h/trades_SOL_USDC_supertrend_best.csv
supertrend;Supertrend;6h;SOL/USDC;Short;7;4,0;7;4,0;;None;24;14524,932921536221;53;0,8113207547169812;247,62689078120093;report_html/supertrend_6h/trades_SOL_USDC_supertrend_best_short.csv
supertrend;Supertrend;6h;SUI/USDC;Long;10;4,0;10;4,0;2,0;2.0;0;14629,501109081719;40;0,775;125,87286355527431;report_html/supertrend_6h/trades_SUI_USDC_supertrend_best.csv
supertrend;Supertrend;6h;SUI/USDC;Short;10;2,0;10;2,0;2,0;2.0;0;14598,167101197534;109;0,6422018348623854;269,00184999537487;report_html/supertrend_6h/trades_SUI_USDC_supertrend_best_short.csv
supertrend;Supertrend;6h;TNSR/USDC;Long;7;4,0;7;4,0;2,0;2.0;0;14298,672198640079;53;0,6792452830188679;283,54850016804994;report_html/supertrend_6h/trades_TNSR_USDC_supertrend_best.csv
supertrend;Supertrend;6h;TNSR/USDC;Short;14;3,0;14;3,0;;None;12;15869,676431036485;121;0,7933884297520661;276,1088045364886;report_html/supertrend_6h/trades_TNSR_USDC_supertrend_best_short.csv
supertrend;Supertrend;6h;XRP/USDC;Long;14;3,0;14;3,0;;None;24;15174,115578076722;72;0,7916666666666666;202,87780020879836;report_html/supertrend_6h/trades_XRP_USDC_supertrend_best.csv
supertrend;Supertrend;6h;XRP/USDC;Short;7;2,0;7;2,0;;None;0;14890,884017167607;80;0,6625;166,95302005081066;report_html/supertrend_6h/trades_XRP_USDC_supertrend_best_short.csv
