symbol,direction,indicator,htf,param_desc,entry_time,entry_price,exit_time,exit_price,stake,fees,pnl,equity_after,reason,size_units,Zeit,ExitZeit,Entry,ExitPreis
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-01-12T10:00:00+01:00,0.3914,2025-01-12T22:00:00+01:00,0.3895,1650.0,3.3000000000000003,4.70970873786413,16504.709708737864,"Time-based exit (2 bars, optimal=2)",4215.6361778231985,2025-01-12T10:00:00+01:00,2025-01-12T22:00:00+01:00,0.3914,0.3895
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-01-12T22:00:00+01:00,0.3895,2025-01-13T10:00:00+01:00,0.355,1650.4709708737864,3.3009419417475727,142.88968320625162,16647.599391944117,"Time-based exit (2 bars, optimal=2)",4237.409424579682,2025-01-12T22:00:00+01:00,2025-01-13T10:00:00+01:00,0.3895,0.355
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-01-15T10:00:00+01:00,0.3744,2025-01-16T13:00:00+01:00,0.4086,1664.7599391944118,3.329519878388824,-155.39893740095533,16492.200454543163,Trend flip,4446.474196566271,2025-01-15T10:00:00+01:00,2025-01-16T13:00:00+01:00,0.3744,0.4086
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-01-20T18:00:00+01:00,0.3673,2025-01-21T06:00:00+01:00,0.3488,1649.2200454543163,3.2984400909086324,79.76872800303332,16571.969182546196,"Time-based exit (2 bars, optimal=2)",4490.117194267128,2025-01-20T18:00:00+01:00,2025-01-21T06:00:00+01:00,0.3673,0.3488
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-01-23T01:00:00+01:00,0.3667,2025-01-23T13:00:00+01:00,0.3611,1657.1969182546195,3.314393836509239,21.993222040845414,16593.96240458704,"Time-based exit (2 bars, optimal=2)",4519.2171209561475,2025-01-23T01:00:00+01:00,2025-01-23T13:00:00+01:00,0.3667,0.3611
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-01-23T20:00:00+01:00,0.3585,2025-01-24T11:00:00+01:00,0.3779,1659.3962404587041,3.3187924809174083,-93.11596699946388,16500.846437587577,Trend flip,4628.720336007543,2025-01-23T20:00:00+01:00,2025-01-24T11:00:00+01:00,0.3585,0.3779
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-01-24T21:00:00+01:00,0.3686,2025-01-25T09:00:00+01:00,0.3589,1650.0846437587577,3.3001692875175155,40.123110811397105,16540.969548398974,"Time-based exit (2 bars, optimal=2)",4476.626814321101,2025-01-24T21:00:00+01:00,2025-01-25T09:00:00+01:00,0.3686,0.3589
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-01-27T00:00:00+01:00,0.3766,2025-01-27T12:00:00+01:00,0.3447,1654.0969548398975,3.308193909679795,136.80251469200024,16677.772063090975,"Time-based exit (2 bars, optimal=2)",4392.185222623201,2025-01-27T00:00:00+01:00,2025-01-27T12:00:00+01:00,0.3766,0.3447
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-01-28T19:00:00+01:00,0.3787,2025-01-29T14:00:00+01:00,0.3788,1667.7772063090974,3.335554412618195,-3.775949766806164,16673.99611332417,"Time-based exit (3 bars, optimal=2)",4403.953541877733,2025-01-28T19:00:00+01:00,2025-01-29T14:00:00+01:00,0.3787,0.3788
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-02-04T06:00:00+01:00,0.2899,2025-02-04T21:00:00+01:00,0.2914,1667.399611332417,3.334799222664834,-11.962254955671483,16662.0338583685,"Time-based exit (2 bars, optimal=2)",5751.637155337761,2025-02-04T06:00:00+01:00,2025-02-04T21:00:00+01:00,0.2899,0.2914
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-02-07T20:00:00+01:00,0.2987,2025-02-10T19:00:00+01:00,0.3528,1666.20338583685,3.3324067716737,-305.11212948266643,16356.921728885834,Trend flip,5578.183414251255,2025-02-07T20:00:00+01:00,2025-02-10T19:00:00+01:00,0.2987,0.3528
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-03-10T01:00:00+01:00,0.3326,2025-03-10T13:00:00+01:00,0.3163,1635.6921728885834,3.2713843457771667,76.89031865507634,16433.812047540912,"Time-based exit (2 bars, optimal=2)",4917.895889622921,2025-03-10T01:00:00+01:00,2025-03-10T13:00:00+01:00,0.3326,0.3163
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-03-16T12:00:00+01:00,0.2439,2025-03-17T00:00:00+01:00,0.2359,1643.3812047540912,3.2867624095081824,50.61668014085156,16484.428727681763,"Time-based exit (2 bars, optimal=2)",6737.930318794962,2025-03-16T12:00:00+01:00,2025-03-17T00:00:00+01:00,0.2439,0.2359
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-03-23T18:00:00+01:00,0.1902,2025-03-24T08:00:00+01:00,0.2025,1648.4428727681764,3.2968857455363527,-109.8996582747087,16374.529069407054,Trend flip,8666.892075542462,2025-03-23T18:00:00+01:00,2025-03-24T08:00:00+01:00,0.1902,0.2025
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-03-26T19:00:00+01:00,0.2078,2025-03-27T10:00:00+01:00,0.209,1637.4529069407054,3.2749058138814107,-12.730841753866068,16361.798227653187,"Time-based exit (2 bars, optimal=2)",7879.94661665402,2025-03-26T19:00:00+01:00,2025-03-27T10:00:00+01:00,0.2078,0.209
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-03-30T18:00:00+02:00,0.165,2025-03-31T06:00:00+02:00,0.1638,1636.1798227653187,3.2723596455306376,8.627129974580836,16370.425357627768,"Time-based exit (2 bars, optimal=2)",9916.24135009284,2025-03-30T18:00:00+02:00,2025-03-31T06:00:00+02:00,0.165,0.1638
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-04-01T14:00:00+02:00,0.1637,2025-04-02T02:00:00+02:00,0.1572,1637.0425357627769,3.274085071525554,61.72760388667883,16432.152961514446,"Time-based exit (2 bars, optimal=2)",10000.259839723743,2025-04-01T14:00:00+02:00,2025-04-02T02:00:00+02:00,0.1637,0.1572
TNSR/USDC,Short,supertrend,6h,"ParamA=14.0, ParamB=3.0, ATR=None",2025-04-04T13:00:00+02:00,0.1341,2025-04-05T13:00:00+02:00,0.1351,1643.2152961514446,3.286430592302889,-15.54008679030025,16416.612874724146,"Time-based exit (4 bars, optimal=2)",12253.65619799735,2025-04-04T13:00:00+02:00,2025-04-05T13:00:00+02:00,0.1341,0.1351
