Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldBars
2025-02-11 01:00:00+01:00;0,7427;2025-02-11 05:00:00+01:00;0,79;525,0;1,05;Partial exit 3% (30%);32,385438265787;14032,385438265786;Long;24
2025-02-11 01:00:00+01:00;0,7427;2025-02-11 05:00:00+01:00;0,79;1750,0;3,5;Trailing stop 5.0%;107,95146088595665;14140,336899151744;Long;24
2025-02-20 11:00:00+01:00;0,7923;2025-02-21 14:00:00+01:00;0,8165;530,2626337181904;1,0605252674363808;Partial exit 3% (30%);15,135809121027846;14155,472708272771;Long;24
2025-02-20 11:00:00+01:00;0,7923;2025-02-21 18:00:00+01:00;0,7699;1237,2794786757775;2,474558957351555;Trend flip;-37,45507179634863;14118,017636476423;Long;24
2025-04-09 19:00:00+02:00;0,6367;2025-04-12 16:00:00+02:00;0,66;529,4256613678658;1,0588513227357317;Partial exit 3% (30%);18,315450404720316;14136,333086881143;Long;24
2025-04-09 19:00:00+02:00;0,6367;2025-04-15 16:00:00+02:00;0,6282;1235,3265431916868;2,4706530863833738;Trend flip;-18,962369149096446;14117,370717732047;Long;24
2025-04-18 23:00:00+02:00;0,6308;2025-04-20 12:00:00+02:00;0,6136;1764,6713397165058;3,529342679433012;Trend flip;-51,646570078170946;14065,724147653877;Long;24
2025-04-21 02:00:00+02:00;0,6337;2025-04-22 16:00:00+02:00;0,6593;527,4646555370203;1,0549293110740408;Partial exit 3% (30%);20,253410884204005;14085,977558538081;Long;24
2025-04-21 02:00:00+02:00;0,6337;2025-04-22 23:00:00+02:00;0,6733;527,4646555370203;1,0549293110740408;Partial exit 5% (30%);31,906409428496715;14117,883967966578;Long;24
2025-04-21 02:00:00+02:00;0,6337;2025-04-23 06:00:00+02:00;0,6999;703,2862073826938;1,4065724147653875;Profit target 10.0%;72,06280888353707;14189,946776850114;Long;24
2025-06-30 00:00:00+02:00;0,5797;2025-07-01 14:00:00+02:00;0,5531;1773,7433471062643;3,5474866942125285;Trend flip;-84,93712449484484;14105,00965235527;Long;24
2025-07-02 16:00:00+02:00;0,5693;2025-07-02 18:00:00+02:00;0,595;528,9378619633226;1,0578757239266452;Partial exit 3% (30%);22,82004989078855;14127,829702246057;Long;24
2025-07-02 16:00:00+02:00;0,5693;2025-07-03 07:00:00+02:00;0,6019;528,9378619633226;1,0578757239266452;Partial exit 5% (30%);29,23085482236581;14157,060557068424;Long;24
2025-07-02 16:00:00+02:00;0,5693;2025-07-04 09:00:00+02:00;0,5801;705,2504826177634;1,410500965235527;Trend flip;11,968570196316886;14169,029127264741;Long;24
2025-07-06 15:00:00+02:00;0,5875;2025-07-09 13:00:00+02:00;0,6094;531,3385922724277;1,0626771845448555;Partial exit 3% (30%);18,743816723142263;14187,772943987884;Long;24
2025-07-06 15:00:00+02:00;0,5875;2025-07-09 21:00:00+02:00;0,6223;531,3385922724277;1,0626771845448555;Partial exit 5% (30%);30,410655600272936;14218,183599588157;Long;24
2025-07-06 15:00:00+02:00;0,5875;2025-07-10 19:00:00+02:00;0,6581;708,451456363237;1,4169029127264738;Profit target 10.0%;83,71785933279612;14301,901458920953;Long;24
2025-08-12 16:00:00+02:00;0,8068;2025-08-12 20:00:00+02:00;0,8395;536,3213047095358;1,0726426094190715;Partial exit 3% (30%);20,6647231119516;14322,566182032904;Long;24
2025-08-12 16:00:00+02:00;0,8068;2025-08-12 21:00:00+02:00;0,8486;536,3213047095358;1,0726426094190715;Partial exit 5% (30%);26,713959444198462;14349,280141477102;Long;24
2025-08-12 16:00:00+02:00;0,8068;2025-08-14 00:00:00+02:00;0,9031;715,0950729460476;1,4301901458920951;Profit target 10.0%;83,92386975086599;14433,204011227968;Long;24
2025-08-17 06:00:00+02:00;0,9538;2025-08-18 08:00:00+02:00;0,9146;1804,150501403496;3,608301002806992;Trend flip;-77,75665459372445;14355,447356634244;Long;24
2025-10-05 06:00:00+02:00;0,868;2025-10-07 16:00:00+02:00;0,8401;1794,4309195792805;3,588861839158561;Trend flip;-61,26699853992122;14294,180358094323;Long;24
2025-10-12 17:00:00+02:00;0,6807;2025-10-13 03:00:00+02:00;0,7078;536,0317634285371;1,0720635268570744;Partial exit 3% (30%);20,26841067457287;14314,448768768896;Long;24
2025-10-12 17:00:00+02:00;0,6807;2025-10-13 09:00:00+02:00;0,7176;536,0317634285371;1,0720635268570744;Partial exit 5% (30%);27,985630127488516;14342,434398896385;Long;24
2025-10-12 17:00:00+02:00;0,6807;2025-10-13 13:00:00+02:00;0,7072;714,7090179047161;1,4294180358094322;Trailing stop 5.0%;26,39457046790003;14368,828969364286;Long;24
2025-10-19 15:00:00+02:00;0,6542;2025-10-21 06:00:00+02:00;0,6401;1796,1036211705357;3,5922072423410714;Trend flip;-42,30370381602581;14326,52526554826;Long;24
2025-10-21 16:00:00+02:00;0,6745;2025-10-28 06:00:00+01:00;0,6582;1790,8156581935325;3,5816313163870652;Trend flip;-46,85857012818032;14279,66669542008;Long;24
2025-12-02 14:00:00+01:00;0,3984;2025-12-02 16:00:00+01:00;0,4285;535,487501078253;1,070975002156506;Partial exit 3% (30%);39,386288508022766;14319,052983928103;Long;24
2025-12-02 14:00:00+01:00;0,3984;2025-12-02 16:00:00+01:00;0,4285;1784,95833692751;3,56991667385502;Trailing stop 5.0%;131,28762836007587;14450,340612288179;Long;24
2025-12-07 17:00:00+01:00;0,4256;2025-12-09 13:00:00+01:00;0,4478;541,8877729608067;1,0837755459216134;Partial exit 3% (30%);27,181987047428734;14477,522599335607;Long;24
2025-12-07 17:00:00+01:00;0,4256;2025-12-09 14:00:00+01:00;0,4504;541,8877729608067;1,0837755459216134;Partial exit 5% (30%);30,492391675478835;14508,014991011087;Long;24
2025-12-07 17:00:00+01:00;0,4256;2025-12-09 17:00:00+01:00;0,4754;722,5170306144089;1,4450340612288177;Profit target 10.0%;83,09760720897224;14591,11259822006;Long;24
