Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldBars
2025-01-17 11:00:00+01:00;3427,08;2025-01-19 22:00:00+01:00;3228,8;1750,0;3,5;Trend flip;-104,74946018184565;13895,250539818155;Long;24
2025-04-12 11:00:00+02:00;1596,92;2025-04-12 16:00:00+02:00;1653,2;521,0718952431807;1,0421437904863615;Partial exit 3% (30%);17,321910930029507;13912,572450748185;Long;24
2025-04-12 11:00:00+02:00;1596,92;2025-04-13 15:00:00+02:00;1573,49;1215,8344222340884;2,431668844468177;Trend flip;-20,2703836911385;13892,302067057046;Long;24
2025-04-14 10:00:00+02:00;1638,01;2025-04-15 21:00:00+02:00;1607,3;1736,5377583821307;3,4730755167642617;Trend flip;-36,03030933091393;13856,271757726132;Long;24
2025-04-19 19:00:00+02:00;1618,66;2025-04-21 18:00:00+02:00;1590,09;1732,0339697157665;3,464067939431533;Trend flip;-34,03516410217092;13822,23659362396;Long;24
2025-04-22 09:00:00+02:00;1619,3;2025-04-22 16:00:00+02:00;1675,39;518,3338722608985;1,036667744521797;Partial exit 3% (30%);16,91760070179073;13839,15419432575;Long;24
2025-04-22 09:00:00+02:00;1619,3;2025-04-22 17:00:00+02:00;1703,95;518,3338722608985;1,036667744521797;Partial exit 5% (30%);26,05958513442905;13865,21377946018;Long;24
2025-04-22 09:00:00+02:00;1619,3;2025-04-23 04:00:00+02:00;1792,94;691,111829681198;1,382223659362396;Profit target 10.0%;72,72674818392994;13937,94052764411;Long;24
2025-04-28 12:00:00+02:00;1816,11;2025-04-30 14:00:00+02:00;1775,89;1742,2425659555138;3,4844851319110277;Trend flip;-42,0685995317714;13895,87192811234;Long;24
2025-05-01 07:00:00+02:00;1813,81;2025-05-05 01:00:00+02:00;1808,91;1736,9839910140424;3,473967982028085;Trend flip;-8,16642284553009;13887,70550526681;Long;24
2025-05-07 00:00:00+02:00;1811,05;2025-05-08 05:00:00+02:00;1901,12;520,7889564475054;1,0415779128950107;Partial exit 3% (30%);24,859121298737342;13912,564626565547;Long;24
2025-05-07 00:00:00+02:00;1811,05;2025-05-08 08:00:00+02:00;1911,11;520,7889564475054;1,0415779128950107;Partial exit 5% (30%);27,731864555362275;13940,29649112091;Long;24
2025-05-07 00:00:00+02:00;1811,05;2025-05-08 17:00:00+02:00;2051,65;694,3852752633404;1,388770550526681;Profit target 10.0%;90,86108297552715;14031,157574096436;Long;24
