Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldBars
2025-01-07 15:00:00+01:00;3568,92;2025-01-07 16:00:00+01:00;3461,2;525,0;1,05;Partial exit 3% (30%);14,795970209475172;14014,795970209476;Short;24
2025-01-07 15:00:00+01:00;3568,92;2025-01-07 16:00:00+01:00;3461,2;1750,0;3,5;Trailing stop 5.0%;49,31990069825058;14064,115870907726;Short;24
2025-01-12 09:00:00+01:00;3238,5;2025-01-13 11:00:00+01:00;3115,68;527,4043451590397;1,0548086903180796;Partial exit 3% (30%);18,94698277870565;14083,062853686431;Short;24
2025-01-12 09:00:00+01:00;3238,5;2025-01-13 12:00:00+01:00;3053,61;527,4043451590397;1,0548086903180796;Partial exit 5% (30%);29,055362492777423;14112,11821617921;Short;24
2025-01-12 09:00:00+01:00;3238,5;2025-01-13 15:00:00+01:00;3033,38;703,2057935453862;1,4064115870907725;Trailing stop 5.0%;43,13321242774003;14155,251428606949;Short;24
2025-01-25 01:00:00+01:00;3274,47;2025-01-27 03:00:00+01:00;3168,92;530,8219285727606;1,0616438571455213;Partial exit 3% (30%);16,048989179912304;14171,30041778686;Short;24
2025-01-25 01:00:00+01:00;3274,47;2025-01-27 07:00:00+01:00;3082,24;530,8219285727606;1,0616438571455213;Partial exit 5% (30%);30,100620365626952;14201,401038152488;Short;24
2025-01-25 01:00:00+01:00;3274,47;2025-01-27 22:00:00+01:00;3158,03;707,7625714303474;1,4155251428606948;Trailing stop 5.0%;23,752478783682953;14225,15351693617;Short;24
2025-01-28 21:00:00+01:00;3093,78;2025-01-30 04:00:00+01:00;3201,22;1778,1441896170213;3,5562883792340427;Trend flip;-65,30722468771495;14159,846292248456;Short;24
2025-02-04 22:00:00+01:00;2640,09;2025-02-09 22:00:00+01:00;2552,99;530,994235959317;1,061988471918634;Partial exit 3% (30%);16,456201420114102;14176,30249366857;Short;24
2025-02-04 22:00:00+01:00;2640,09;2025-02-10 19:00:00+01:00;2683,9;1238,9865505717398;2,47797310114348;Trend flip;-23,037878551543976;14153,264615117027;Short;24
2025-02-11 14:00:00+01:00;2634,85;2025-02-12 22:00:00+01:00;2682,56;1769,1580768896283;3,538316153779257;Trend flip;-35,57297917004365;14117,691635946983;Short;24
2025-02-13 15:00:00+01:00;2636,99;2025-02-14 15:00:00+01:00;2721,32;1764,711454493373;3,5294229089867457;Trend flip;-59,96426602838683;14057,727369918597;Short;24
2025-02-16 21:00:00+01:00;2671,33;2025-02-20 03:00:00+01:00;2741,64;1757,2159212398246;3,5144318424796492;Trend flip;-49,76474588917998;14007,962624029416;Short;24
2025-02-24 04:00:00+01:00;2717,91;2025-02-24 22:00:00+01:00;2636,08;525,298598401103;1,050597196802206;Partial exit 3% (30%);14,764931760066206;14022,727555789483;Short;24
2025-02-24 04:00:00+01:00;2717,91;2025-02-24 23:00:00+01:00;2508,96;525,298598401103;1,050597196802206;Partial exit 5% (30%);39,33379453651876;14062,061350326001;Short;24
2025-02-24 04:00:00+01:00;2717,91;2025-02-24 23:00:00+01:00;2508,96;1225,696729602574;2,451393459205148;Trailing stop 5.0%;91,77885391854379;14153,840204244545;Short;24
2025-03-01 14:00:00+01:00;2151,5;2025-03-04 02:00:00+01:00;2054,89;530,7690076591704;1,0615380153183407;Partial exit 3% (30%);22,77187766209394;14176,612081906638;Short;24
2025-03-01 14:00:00+01:00;2151,5;2025-03-04 02:00:00+01:00;2054,89;1769,2300255305681;3,5384600510611364;Trailing stop 5.0%;75,90625887364646;14252,518340780285;Short;24
2025-03-06 18:00:00+01:00;2191,0;2025-03-07 01:00:00+01:00;2117,72;534,4694377792607;1,0689388755585214;Partial exit 3% (30%);16,806880567830035;14269,325221348116;Short;24
2025-03-06 18:00:00+01:00;2191,0;2025-03-07 01:00:00+01:00;2117,72;1781,5647925975356;3,5631295851950715;Trailing stop 5.0%;56,02293522610012;14325,348156574215;Short;24
2025-03-09 11:00:00+01:00;2133,69;2025-03-09 17:00:00+01:00;2049,18;537,2005558715331;1,0744011117430663;Partial exit 3% (30%);20,20273801188941;14345,550894586104;Short;24
2025-03-09 11:00:00+01:00;2133,69;2025-03-09 18:00:00+01:00;2024,1;537,2005558715331;1,0744011117430663;Partial exit 5% (30%);26,51714635670895;14372,068040942813;Short;24
2025-03-09 11:00:00+01:00;2133,69;2025-03-10 12:00:00+01:00;2128,4;716,2674078287107;1,4325348156574214;Trend flip;0,343287626878211;14372,411328569691;Short;24
2025-03-10 17:00:00+01:00;2004,66;2025-03-10 18:00:00+01:00;1916,8;538,9654248213634;1,077930849642727;Partial exit 3% (30%);22,543781672583012;14394,955110242274;Short;24
2025-03-10 17:00:00+01:00;2004,66;2025-03-10 18:00:00+01:00;1916,8;1796,5514160712114;3,593102832142423;Trailing stop 5.0%;75,14593890861005;14470,101049150884;Short;24
2025-03-16 10:00:00+01:00;1908,0;2025-03-17 18:00:00+01:00;1930,4;1808,7626311438605;3,617525262287721;Trend flip;-24,85247439102076;14445,248574759864;Short;24
2025-03-18 14:00:00+01:00;1879,58;2025-03-22 11:00:00+01:00;1995,62;1805,656071844983;3,611312143689966;Trend flip;-115,08745605716626;14330,161118702697;Short;24
2025-03-24 02:00:00+01:00;1980,72;2025-03-28 05:00:00+01:00;1937,09;1791,2701398378372;3,5825402796756745;Trailing stop 5.0%;35,8743825570327;14366,03550125973;Short;24
2025-04-02 07:00:00+02:00;1856,07;2025-04-03 00:00:00+02:00;1797,56;538,7263312972399;1,0774526625944798;Partial exit 3% (30%);15,905138319535238;14381,940639579265;Short;24
2025-04-02 07:00:00+02:00;1856,07;2025-04-03 14:00:00+02:00;1759,4;538,7263312972399;1,0774526625944798;Partial exit 5% (30%);26,98111972233933;14408,921759301604;Short;24
2025-04-02 07:00:00+02:00;1856,07;2025-04-06 20:00:00+02:00;1617,39;718,3017750629864;1,4366035501259729;Profit target 10.0%;90,93290173363675;14499,85466103524;Short;24
2025-05-20 20:00:00+02:00;2453,79;2025-05-22 05:00:00+02:00;2630,3;1812,481832629405;3,6249636652588104;Trend flip;-134,00334497638025;14365,85131605886;Short;24
2025-06-05 18:00:00+02:00;2559,99;2025-06-05 22:00:00+02:00;2399,29;538,7194243522073;1,0774388487044146;Partial exit 3% (30%);32,739963365132205;14398,591279423994;Short;24
2025-06-05 18:00:00+02:00;2559,99;2025-06-05 22:00:00+02:00;2399,29;1795,7314145073576;3,5914628290147155;Trailing stop 5.0%;109,13321121710737;14507,724490641102;Short;24
2025-06-09 03:00:00+02:00;2496,37;2025-06-16 04:00:00+02:00;2574,99;1813,4655613301377;3,6269311226602756;Trend flip;-60,739723870440145;14446,984766770662;Short;24
2025-06-20 16:00:00+02:00;2490,41;2025-06-20 19:00:00+02:00;2419,91;1805,8730958463327;3,6117461916926654;Trailing stop 5.0%;47,509978045347204;14494,49474481601;Short;24
2025-08-17 21:00:00+02:00;4462,88;2025-08-18 04:00:00+02:00;4323,0;543,5435529306003;1,0870871058612006;Partial exit 3% (30%);15,949192647108276;14510,443937463118;Short;24
2025-08-17 21:00:00+02:00;4462,88;2025-08-19 05:00:00+02:00;4220,8;543,5435529306003;1,0870871058612006;Partial exit 5% (30%);28,396345855240078;14538,840283318359;Short;24
2025-08-17 21:00:00+02:00;4462,88;2025-08-20 17:00:00+02:00;4255,31;724,7247372408004;1,4494494744816009;Trailing stop 5.0%;32,25773371419314;14571,098017032553;Short;24
