Zeit;Entry;ExitZeit;ExitPreis;Stake;Fees;ExitReason;PnL (USD);Equity;Direction;MinHoldBars
2025-01-12 10:00:00+01:00;0,3914;2025-01-13 01:00:00+01:00;0,3987;1750,0;3,5;Trend flip;-36,139243740418884;13963,86075625958;Short;12
2025-01-13 03:00:00+01:00;0,3833;2025-01-13 07:00:00+01:00;0,37;523,6447783597342;1,0472895567194684;Partial exit 3% (30%);17,122487516550695;13980,98324377613;Short;12
2025-01-13 03:00:00+01:00;0,3833;2025-01-13 10:00:00+01:00;0,355;523,6447783597342;1,0472895567194684;Partial exit 5% (30%);37,61471729843439;14018,597961074565;Short;12
2025-01-13 03:00:00+01:00;0,3833;2025-01-13 12:00:00+01:00;0,3395;698,193037812979;1,396386075625958;Profit target 10.0%;78,38669520850775;14096,984656283073;Short;12
2025-01-15 10:00:00+01:00;0,3744;2025-01-16 13:00:00+01:00;0,4086;1762,1230820353842;3,5242461640707683;Trend flip;-164,4874123115338;13932,49724397154;Short;12
2025-01-20 18:00:00+01:00;0,3673;2025-01-21 03:00:00+01:00;0,353;522,4686466489327;1,0449372932978653;Partial exit 3% (30%);19,29620522529662;13951,793449196837;Short;12
2025-01-20 18:00:00+01:00;0,3673;2025-01-21 05:00:00+01:00;0,3478;522,4686466489327;1,0449372932978653;Partial exit 5% (30%);26,692984322967302;13978,486433519805;Short;12
2025-01-20 18:00:00+01:00;0,3673;2025-01-21 18:00:00+01:00;0,3873;696,6248621985769;1,3932497243971538;Trend flip;-39,32545022527249;13939,160983294532;Short;12
2025-01-23 01:00:00+01:00;0,3667;2025-01-23 17:00:00+01:00;0,3776;1742,3951229118165;3,4847902458236333;Trend flip;-55,27673690450577;13883,884246390027;Short;12
2025-01-24 21:00:00+01:00;0,3686;2025-01-25 01:00:00+01:00;0,3505;520,645659239626;1,0412913184792518;Partial exit 3% (30%);24,52486829149696;13908,409114681524;Short;12
2025-01-24 21:00:00+01:00;0,3686;2025-01-25 12:00:00+01:00;0,3696;1214,8398715591272;2,4296797431182546;Trend flip;-5,725501423962336;13902,683613257563;Short;12
2025-01-27 00:00:00+01:00;0,3766;2025-01-27 03:00:00+01:00;0,3614;521,3506354971586;1,042701270994317;Partial exit 3% (30%);19,999597347053495;13922,683210604617;Short;12
2025-01-27 00:00:00+01:00;0,3766;2025-01-27 06:00:00+01:00;0,3554;521,3506354971586;1,042701270994317;Partial exit 5% (30%);28,305767854177642;13950,988978458794;Short;12
2025-01-27 00:00:00+01:00;0,3766;2025-01-27 11:00:00+01:00;0,3372;695,1341806628781;1,3902683613257563;Profit target 10.0%;71,33486896771672;14022,32384742651;Short;12
2025-01-28 19:00:00+01:00;0,3787;2025-01-28 22:00:00+01:00;0,3655;525,8371442784942;1,0516742885569883;Partial exit 3% (30%);17,276950756270363;14039,60079818278;Short;12
2025-01-28 19:00:00+01:00;0,3787;2025-02-02 17:00:00+01:00;0,3538;525,8371442784942;1,0516742885569883;Partial exit 5% (30%);33,522777500549154;14073,12357568333;Short;12
2025-01-28 19:00:00+01:00;0,3787;2025-02-02 18:00:00+01:00;0,3407;701,1161923713255;1,402232384742651;Profit target 10.0%;68,95006576711992;14142,07364145045;Short;12
2025-02-04 06:00:00+01:00;0,2899;2025-02-06 22:00:00+01:00;0,3004;1767,7592051813062;3,5355184103626125;Trend flip;-67,56267140934064;14074,510970041109;Short;12
2025-02-07 20:00:00+01:00;0,2987;2025-02-07 22:00:00+01:00;0,2885;527,7941613765415;1,0555883227530831;Partial exit 3% (30%);16,96751327095547;14091,478483312065;Short;12
2025-02-07 20:00:00+01:00;0,2987;2025-02-10 19:00:00+01:00;0,3528;1231,5197098785968;2,4630394197571936;Trend flip;-225,51364639810356;13865,964836913961;Short;12
2025-03-10 01:00:00+01:00;0,3326;2025-03-10 02:00:00+01:00;0,3154;519,9736813842735;1,039947362768547;Partial exit 3% (30%);25,849852155600363;13891,814689069563;Short;12
2025-03-10 01:00:00+01:00;0,3326;2025-03-10 02:00:00+01:00;0,3154;1733,2456046142452;3,4664912092284905;Trailing stop 5.0%;86,16617385200122;13977,980862921564;Short;12
2025-03-16 12:00:00+01:00;0,2439;2025-03-16 14:00:00+01:00;0,2369;1747,2476078651955;3,494495215730391;Trailing stop 5.0%;46,65201259507887;14024,632875516643;Short;12
2025-03-23 18:00:00+01:00;0,1902;2025-03-24 08:00:00+01:00;0,2025;1753,0791094395804;3,5061582188791607;Trend flip;-116,87562744131264;13907,75724807533;Short;12
2025-03-26 19:00:00+01:00;0,2078;2025-03-27 14:00:00+01:00;0,1992;521,5408968028248;1,0430817936056496;Partial exit 3% (30%);20,541382655404483;13928,298630730735;Short;12
2025-03-26 19:00:00+01:00;0,2078;2025-03-28 05:00:00+01:00;0,1929;521,5408968028248;1,0430817936056496;Partial exit 5% (30%);36,35325777502814;13964,651888505763;Short;12
2025-03-26 19:00:00+01:00;0,2078;2025-03-28 10:00:00+01:00;0,1854;695,3878624037665;1,390775724807533;Profit target 10.0%;73,56922484229722;14038,22111334806;Short;12
2025-03-30 18:00:00+02:00;0,165;2025-03-31 11:00:00+02:00;0,1596;526,4332917505523;1,0528665835011046;Partial exit 3% (30%);16,1758593283352;14054,396972676395;Short;12
2025-03-30 18:00:00+02:00;0,165;2025-04-01 04:00:00+02:00;0,168;1228,344347417955;2,4566886948359103;Trend flip;-24,790222284253296;14029,606750392142;Short;12
2025-04-01 14:00:00+02:00;0,1637;2025-04-02 02:00:00+02:00;0,1572;526,1102531397053;1,0522205062794106;Partial exit 3% (30%);19,837923937264186;14049,444674329407;Short;12
2025-04-01 14:00:00+02:00;0,1637;2025-04-02 03:00:00+02:00;0,1532;526,1102531397053;1,0522205062794106;Partial exit 5% (30%);32,693397440983325;14082,13807177039;Short;12
2025-04-01 14:00:00+02:00;0,1637;2025-04-02 17:00:00+02:00;0,1571;701,480337519607;1,402960675039214;Trailing stop 5.0%;26,87908103314296;14109,017152803533;Short;12
2025-04-04 13:00:00+02:00;0,1341;2025-04-06 05:00:00+02:00;0,1289;529,0881432301325;1,0581762864602648;Partial exit 3% (30%);19,458291609115385;14128,475444412648;Short;12
2025-04-04 13:00:00+02:00;0,1341;2025-04-06 06:00:00+02:00;0,1249;529,0881432301325;1,0581762864602648;Partial exit 5% (30%);35,240189990327345;14163,715634402975;Short;12
2025-04-04 13:00:00+02:00;0,1341;2025-04-06 19:00:00+02:00;0,1195;705,4508576401767;1,4109017152803534;Profit target 10.0%;75,39433707328475;14239,10997147626;Short;12
2025-04-08 18:00:00+02:00;0,1145;2025-04-09 00:00:00+02:00;0,1107;533,9666239303598;1,0679332478607195;Partial exit 3% (30%);16,653229817076976;14255,763201293337;Short;12
2025-04-08 18:00:00+02:00;0,1145;2025-04-09 11:00:00+02:00;0,1176;1245,9221225041726;2,4918442450083456;Trend flip;-36,22423358791598;14219,53896770542;Short;12
2025-04-10 06:00:00+02:00;0,1223;2025-04-10 17:00:00+02:00;0,1175;533,2327112889533;1,0664654225779067;Partial exit 3% (30%);19,861719484919906;14239,40068719034;Short;12
2025-04-10 06:00:00+02:00;0,1223;2025-04-11 04:00:00+02:00;0,1235;1244,2096596742242;2,4884193193484485;Trend flip;-14,696527182055398;14224,704160008285;Short;12
2025-05-14 18:00:00+02:00;0,1769;2025-05-15 08:00:00+02:00;0,1704;533,4264060003106;1,0668528120006213;Partial exit 3% (30%);18,533326040469827;14243,237486048754;Short;12
2025-05-14 18:00:00+02:00;0,1769;2025-05-15 09:00:00+02:00;0,1654;533,4264060003106;1,0668528120006213;Partial exit 5% (30%);33,610386696216324;14276,847872744971;Short;12
2025-05-14 18:00:00+02:00;0,1769;2025-05-15 17:00:00+02:00;0,169;711,2352080004142;1,4224704160008286;Trailing stop 5.0%;30,33987069877173;14307,187743443743;Short;12
2025-05-26 19:00:00+02:00;0,1472;2025-05-27 10:00:00+02:00;0,1534;1788,3984679304679;3,5767969358609357;Trend flip;-78,9033628405411;14228,284380603201;Short;12
2025-05-28 20:00:00+02:00;0,1523;2025-05-29 15:00:00+02:00;0,1471;533,56066427262;1,0671213285452399;Partial exit 3% (30%);17,15031435246339;14245,434694955666;Short;12
2025-05-28 20:00:00+02:00;0,1523;2025-05-29 21:00:00+02:00;0,1438;533,56066427262;1,0671213285452399;Partial exit 5% (30%);28,711379303872743;14274,14607425954;Short;12
2025-05-28 20:00:00+02:00;0,1523;2025-05-30 02:00:00+02:00;0,1342;711,41421903016;1,42282843806032;Profit target 10.0%;83,12475767123634;14357,270831930775;Short;12
2025-06-14 18:00:00+02:00;0,1114;2025-06-18 12:00:00+02:00;0,1074;538,397656197404;1,076795312394808;Partial exit 3% (30%);18,255256974765135;14375,52608890554;Short;12
2025-06-14 18:00:00+02:00;0,1114;2025-06-18 14:00:00+02:00;0,1048;538,397656197404;1,076795312394808;Partial exit 5% (30%);30,82109096141905;14406,34717986696;Short;12
2025-06-14 18:00:00+02:00;0,1114;2025-06-18 22:00:00+02:00;0,1081;717,8635415965387;1,4357270831930773;Trailing stop 5.0%;19,829530432682823;14426,176710299642;Short;12
2025-06-19 22:00:00+02:00;0,1096;2025-06-21 13:00:00+02:00;0,1124;1803,2720887874552;3,6065441775749107;Trend flip;-49,67553914659744;14376,501171153044;Short;12
2025-07-08 03:00:00+02:00;0,1109;2025-07-08 20:00:00+02:00;0,1157;1797,0626463941305;3,594125292788261;Trend flip;-81,37501530804367;14295,126155845;Short;12
2025-07-28 15:00:00+02:00;0,1464;2025-07-28 20:00:00+02:00;0,1418;536,0672308441875;1,072134461688375;Partial exit 3% (30%);15,771508037514213;14310,897663882515;Short;12
2025-07-28 15:00:00+02:00;0,1464;2025-07-29 00:00:00+02:00;0,1382;536,0672308441875;1,072134461688375;Partial exit 5% (30%);28,953489123846765;14339,851153006362;Short;12
2025-07-28 15:00:00+02:00;0,1464;2025-07-29 08:00:00+02:00;0,1418;714,7563077922499;1,4295126155845;Trend flip;21,02867738335228;14360,879830389715;Short;12
2025-07-29 16:00:00+02:00;0,1363;2025-07-30 12:00:00+02:00;0,1315;538,5329936396142;1,0770659872792285;Partial exit 3% (30%);17,888145821012387;14378,767976210727;Short;12
2025-07-29 16:00:00+02:00;0,1363;2025-07-30 13:00:00+02:00;0,1291;538,5329936396142;1,0770659872792285;Partial exit 5% (30%);27,37075172515825;14406,138727935886;Short;12
2025-07-29 16:00:00+02:00;0,1363;2025-07-30 21:00:00+02:00;0,1298;718,0439915194856;1,4360879830389712;Trailing stop 5.0%;32,80665555970982;14438,945383495597;Short;12
2025-07-31 15:00:00+02:00;0,1319;2025-07-31 23:00:00+02:00;0,1271;541,4604518810849;1,0829209037621697;Partial exit 3% (30%);18,621477648392545;14457,566861143989;Short;12
2025-07-31 15:00:00+02:00;0,1319;2025-08-01 01:00:00+02:00;0,125;541,4604518810849;1,0829209037621697;Partial exit 5% (30%);27,242152014960194;14484,809013158949;Short;12
2025-07-31 15:00:00+02:00;0,1319;2025-08-02 05:00:00+02:00;0,1256;721,9472691747798;1,4438945383495596;Trailing stop 5.0%;33,038802927921196;14517,84781608687;Short;12
2025-08-05 09:00:00+02:00;0,1255;2025-08-05 23:00:00+02:00;0,1216;544,4192931032576;1,0888385862065153;Partial exit 3% (30%);15,829370522181572;14533,677186609053;Short;12
2025-08-05 09:00:00+02:00;0,1255;2025-08-06 11:00:00+02:00;0,1243;1270,311683907601;2,540623367815202;Trend flip;9,605783171540413;14543,282969780594;Short;12
2025-08-17 21:00:00+02:00;0,1279;2025-08-18 04:00:00+02:00;0,1225;545,3731113667723;1,0907462227335445;Partial exit 3% (30%);21,93517091081281;14565,218140691406;Short;12
2025-08-17 21:00:00+02:00;0,1279;2025-08-19 05:00:00+02:00;0,1208;545,3731113667723;1,0907462227335445;Partial exit 5% (30%);29,184070749151424;14594,402211440558;Short;12
2025-08-17 21:00:00+02:00;0,1279;2025-08-20 10:00:00+02:00;0,1226;727,1641484890296;1,454328296978059;Trailing stop 5.0%;28,678353383959124;14623,080564824517;Short;12
2025-08-21 14:00:00+02:00;0,12;2025-08-22 16:00:00+02:00;0,1261;1827,8850706030646;3,6557701412061294;Trend flip;-96,57326123019516;14526,507303594322;Short;12
2025-08-24 11:00:00+02:00;0,1264;2025-08-25 08:00:00+02:00;0,122;544,7440238847871;1,0894880477695743;Partial exit 3% (30%);17,873120378599662;14544,380423972922;Short;12
2025-08-24 11:00:00+02:00;0,1264;2025-08-25 12:00:00+02:00;0,1185;544,7440238847871;1,0894880477695743;Partial exit 5% (30%);32,9570134450297;14577,337437417951;Short;12
