Phase,PhaseClassifier,PhaseHTF,PhaseLength,PhaseFactor,ParamA,ParamB,ATRStopMult,MinHoldBars,MaxHoldBars,Trades,PnL,WinRate,AvgPnL,Winners,DashTrades,DashPnL,DashWinRate,DashWinners
Down,jma,6h,10,3.0,50,-50,1.0,24,48,19,-401.1,10.53,-21.11,2,3,-13.16,33.33,1
Down,jma,6h,10,3.0,50,-50,1.0,24,0,19,-401.1,10.53,-21.11,2,3,-13.16,33.33,1
Down,jma,6h,10,3.0,50,-50,1.0,24,60,19,-401.1,10.53,-21.11,2,3,-13.16,33.33,1
Down,jma,6h,10,3.0,50,-50,2.0,24,48,20,-406.96,25.0,-20.35,5,2,-6.6,50.0,1
Down,jma,6h,10,3.0,50,-50,2.0,24,60,20,-407.07,25.0,-20.35,5,2,-6.6,50.0,1
Down,jma,6h,10,3.0,50,-50,2.0,24,0,20,-407.08,25.0,-20.35,5,2,-6.6,50.0,1
Down,jma,6h,10,3.0,50,-50,None,24,48,19,-438.23,47.37,-23.06,9,2,-32.7,50.0,1
Down,jma,6h,10,3.0,50,-50,None,24,60,19,-438.48,47.37,-23.08,9,2,-32.58,50.0,1
Down,jma,6h,10,3.0,50,-50,None,24,0,19,-438.57,47.37,-23.08,9,2,-32.58,50.0,1
Down,jma,6h,10,3.0,50,-50,1.0,24,24,20,-438.57,10.0,-21.93,2,3,-13.15,33.33,1
Down,jma,6h,10,3.0,30,50,None,24,48,19,-474.01,31.58,-24.95,6,3,-74.48,33.33,1
Down,jma,6h,10,3.0,30,50,None,24,0,19,-474.03,31.58,-24.95,6,3,-74.53,33.33,1
Down,jma,6h,10,3.0,30,50,None,24,60,19,-474.03,31.58,-24.95,6,3,-74.53,33.33,1
Down,jma,6h,10,3.0,30,50,None,12,24,20,-496.62,40.0,-24.83,8,5,-63.35,60.0,3
Down,jma,6h,10,3.0,30,50,None,12,0,20,-514.15,40.0,-25.71,8,5,-63.0,60.0,3
Down,jma,6h,10,3.0,30,50,None,12,48,20,-514.15,40.0,-25.71,8,5,-63.0,60.0,3
Down,jma,6h,10,3.0,30,50,None,12,60,20,-514.15,40.0,-25.71,8,5,-63.0,60.0,3
Down,jma,6h,10,3.0,50,-50,1.5,24,24,20,-514.55,20.0,-25.73,4,2,0.1,50.0,1
Down,jma,6h,10,3.0,50,-50,1.5,24,60,20,-516.57,20.0,-25.83,4,2,0.15,50.0,1
Down,jma,6h,10,3.0,50,-50,1.5,24,0,20,-516.57,20.0,-25.83,4,2,0.15,50.0,1
Down,jma,6h,10,3.0,50,-50,1.5,24,48,20,-516.58,20.0,-25.83,4,2,0.15,50.0,1
Down,jma,6h,10,3.0,50,-50,1.0,12,0,24,-551.01,8.33,-22.96,2,3,-22.82,33.33,1
Down,jma,6h,10,3.0,50,-50,1.0,12,48,24,-551.01,8.33,-22.96,2,3,-22.82,33.33,1
Down,jma,6h,10,3.0,50,-50,1.0,12,60,24,-551.01,8.33,-22.96,2,3,-22.82,33.33,1
Down,jma,6h,10,3.0,50,-50,1.0,12,24,24,-551.13,8.33,-22.96,2,3,-22.84,33.33,1
Down,jma,6h,10,3.0,20,50,None,12,24,21,-598.01,28.57,-28.48,6,5,-130.11,60.0,3
Down,jma,6h,10,3.0,20,50,None,12,0,21,-609.34,28.57,-29.02,6,5,-130.35,60.0,3
Down,jma,6h,10,3.0,20,50,None,12,48,21,-609.34,28.57,-29.02,6,5,-130.35,60.0,3
Down,jma,6h,10,3.0,20,50,None,12,60,21,-609.34,28.57,-29.02,6,5,-130.35,60.0,3
Down,jma,6h,10,3.0,50,-50,1.0,0,24,33,-629.06,0.0,-19.06,0,3,-41.3,0.0,0
Down,jma,6h,10,3.0,50,-50,1.0,0,0,33,-629.06,0.0,-19.06,0,3,-41.29,0.0,0
Down,jma,6h,10,3.0,50,-50,1.0,0,48,33,-629.06,0.0,-19.06,0,3,-41.29,0.0,0
Down,jma,6h,10,3.0,50,-50,1.0,0,60,33,-629.06,0.0,-19.06,0,3,-41.29,0.0,0
Down,jma,6h,10,3.0,50,-50,2.0,24,24,20,-632.15,20.0,-31.61,4,2,-6.74,50.0,1
Down,jma,6h,10,3.0,50,-50,1.5,12,0,23,-651.72,17.39,-28.34,4,2,-9.97,50.0,1
Down,jma,6h,10,3.0,50,-50,1.5,12,48,23,-651.72,17.39,-28.34,4,2,-9.97,50.0,1
Down,jma,6h,10,3.0,50,-50,1.5,12,60,23,-651.72,17.39,-28.34,4,2,-9.97,50.0,1
Down,jma,6h,10,3.0,50,-50,1.5,12,24,23,-651.74,17.39,-28.34,4,2,-10.01,50.0,1
Down,jma,6h,10,3.0,50,-50,None,0,24,33,-661.34,0.0,-20.04,0,3,-41.73,0.0,0
Down,jma,6h,10,3.0,50,-50,None,0,0,33,-661.41,0.0,-20.04,0,3,-41.72,0.0,0
Down,jma,6h,10,3.0,50,-50,None,0,48,33,-661.41,0.0,-20.04,0,3,-41.72,0.0,0
Down,jma,6h,10,3.0,50,-50,None,0,60,33,-661.41,0.0,-20.04,0,3,-41.72,0.0,0
Down,jma,6h,10,3.0,50,-50,2.0,0,24,33,-666.32,0.0,-20.19,0,3,-41.68,0.0,0
Down,jma,6h,10,3.0,50,-50,2.0,0,0,33,-666.38,0.0,-20.19,0,3,-41.67,0.0,0
Down,jma,6h,10,3.0,50,-50,2.0,0,48,33,-666.38,0.0,-20.19,0,3,-41.67,0.0,0
Down,jma,6h,10,3.0,50,-50,2.0,0,60,33,-666.38,0.0,-20.19,0,3,-41.67,0.0,0
Down,jma,6h,10,3.0,50,-50,1.5,0,24,33,-666.64,0.0,-20.2,0,3,-41.62,0.0,0
Down,jma,6h,10,3.0,50,-50,1.5,0,0,33,-666.67,0.0,-20.2,0,3,-41.62,0.0,0
Down,jma,6h,10,3.0,50,-50,1.5,0,48,33,-666.67,0.0,-20.2,0,3,-41.62,0.0,0
Down,jma,6h,10,3.0,50,-50,1.5,0,60,33,-666.67,0.0,-20.2,0,3,-41.62,0.0,0
Down,jma,6h,10,3.0,30,50,None,24,24,19,-692.4,26.32,-36.44,5,3,-147.73,33.33,1
Down,jma,6h,10,3.0,50,50,1.0,0,0,39,-697.0,0.0,-17.87,0,8,-106.74,0.0,0
Down,jma,6h,10,3.0,50,50,1.0,0,48,39,-697.0,0.0,-17.87,0,8,-106.74,0.0,0
